ontology	P	Beta	genes_in_set	overlapping_genes
GOCC_ION_CHANNEL_COMPLEX	6.502457412682147e-11	2.027382604199096	289	12
GOBP_CELL_CELL_SIGNALING	7.656827487226799e-11	1.3698888720297828	1595	31
GOCC_PRESYNAPTIC_MEMBRANE	8.381664992313815e-11	2.3122176945499007	162	9
GOBP_MONOATOMIC_CATION_TRANSPORT	1.039973340264596e-10	1.5152532369672584	975	23
GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION	2.91637722128459e-10	2.756102630085102	70	6
GOBP_CALCIUM_MEDIATED_SIGNALING	4.751642336554763e-10	2.211909129019144	178	9
GOCC_CALCIUM_CHANNEL_COMPLEX	6.454991708697143e-10	2.695267126783281	74	6
GOCC_CATION_CHANNEL_COMPLEX	9.505520962314971e-10	2.170952722531273	185	9
GOBP_POSTSYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION	1.0001740588720422e-09	3.358641054819116	27	4
GOBP_TRANSMEMBRANE_TRANSPORT	1.0187739206709753e-09	1.3302854670715198	1460	28
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	1.0949467719400575e-09	1.759606099216755	441	14
GOBP_LEARNING	1.2635681276573653e-09	2.2820900230204	147	8
GOCC_T_TUBULE	1.270757473201069e-09	2.918192117394701	50	5
GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL	1.3901823740802045e-09	2.148267732609688	189	9
GOCC_PLASMA_MEMBRANE_REGION	1.7055224326147655e-09	1.3672730087940974	1233	25
GOCC_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	2.0646068043588342e-09	2.8746016757729635	52	5
GOCC_TRANSPORTER_COMPLEX	2.2169562356923e-09	1.7844691358337077	397	13
GOBP_HEART_PROCESS	2.4243474626323477e-09	2.0105912107985806	241	10
GOCC_L_TYPE_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	2.777425656948201e-09	4.00130670295541	12	3
GOBP_REGULATION_OF_CALCIUM_ION_TRANSPORT	2.823420913726099e-09	2.0018640960919902	243	10
GOBP_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	4.094354917748788e-09	3.1980879781031497	31	4
GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	4.1112697741235764e-09	2.8125682567270593	55	5
GOBP_ASSOCIATIVE_LEARNING	4.478417280200462e-09	2.5447468259991264	85	6
GOCC_RIBBON_SYNAPSE	4.630513917894351e-09	3.8958936234982655	13	3
GOBP_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY	5.122135027543214e-09	2.7927129521058225	56	5
GOBP_LONG_TERM_SYNAPTIC_POTENTIATION	5.2572680230394705e-09	2.532115285871972	86	6
GOCC_AXON	8.08343210727405e-09	1.568057414687934	613	16
GOBP_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION	1.0511795965624924e-08	3.092569613401296	34	4
GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC	1.0914222810687462e-08	2.287577202553631	127	7
GOBP_REGULATION_OF_TRANSPORT	1.1673847922776569e-08	1.2269151516267878	1672	29
GOBP_CALCIUM_ION_HOMEOSTASIS	1.2089100187785794e-08	1.8332806727965902	316	11
GOCC_EXOCYTIC_VESICLE	1.2837398798063224e-08	2.0119684452752513	215	9
GOCC_PLASMA_MEMBRANE_PROTEIN_COMPLEX	1.4080824052599688e-08	1.5859174781701515	561	15
GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	1.4635210166302514e-08	1.584033560891299	562	15
GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	1.7493899274462486e-08	2.436382942472989	94	6
GOCC_SARCOLEMMA	2.142140424968329e-08	2.238469762721866	133	7
GOBP_CARDIAC_CONDUCTION	2.3146429876913535e-08	2.413804517869182	96	6
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	2.3146429876913535e-08	2.413804517869182	96	6
GOBP_ACTION_POTENTIAL	2.6577363277800582e-08	2.222615624825928	135	7
GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING	2.756448088148474e-08	1.8676494728764588	276	10
GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_SIGNALING	3.104956312603593e-08	3.5592111040458683	17	3
GOBP_REGULATION_OF_HEART_RATE	3.962909762097278e-08	2.3701082349857794	100	6
GOCC_GLUTAMATERGIC_SYNAPSE	4.026185345049809e-08	1.6950366878103318	396	12
GOBP_MONOATOMIC_ION_HOMEOSTASIS	4.6020695066631924e-08	1.5272302331420524	593	15
GOBP_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	5.4408273894413956e-08	2.9099322837506607	40	4
GOBP_CELLULAR_HOMEOSTASIS	6.170500451277009e-08	1.432923636519987	745	17
GOBP_MUSCLE_SYSTEM_PROCESS	6.424149947230248e-08	1.668791994267745	406	12
GOBP_REGULATION_OF_BLOOD_CIRCULATION	9.496875032911934e-08	1.8830352450041405	243	9
GOBP_REGULATION_OF_HEART_CONTRACTION	1.1779966955637207e-07	1.9775253463042572	196	8
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1.180408202941288e-07	2.5041349403071687	73	5
GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	1.4047697029528018e-07	2.8043611974456026	44	4
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	1.414338743448674e-07	2.097012556371468	152	7
GOBP_INTRACELLULAR_MONOATOMIC_ION_HOMEOSTASIS	1.8878679121752107e-07	1.5497725846352701	496	13
GOBP_REGULATION_OF_NEUROTRANSMITTER_SECRETION	2.1642649901403202e-07	2.44676560050145	77	5
GOCC_MEMBRANE_PROTEIN_COMPLEX	2.2775335618740184e-07	1.2548091382228401	1117	21
GOBP_CHEMICAL_HOMEOSTASIS	2.441088345659281e-07	1.3034595722034203	953	19
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	2.502567262943871e-07	2.432919539925415	78	5
GOBP_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY	3.1454614764457367e-07	3.2022206529267305	23	3
GOBP_NEGATIVE_REGULATION_OF_CELL_VOLUME	3.270109505069113e-07	4.686185464611104	5	2
GOBP_MEMBRANE_DEPOLARIZATION_DURING_AV_NODE_CELL_ACTION_POTENTIAL	3.270109505069113e-07	4.686185464611104	5	2
GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	3.2941320539991127e-07	2.708840402644711	48	4
GOBP_MUSCLE_CONTRACTION	4.0205074953621505e-07	1.6991919748882283	324	10
GOBP_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	4.375034819365656e-07	3.153377894547907	24	3
GOBP_REGULATION_OF_METAL_ION_TRANSPORT	4.3886218701915337e-07	1.6202051898051606	387	11
GOBP_STRIATED_MUSCLE_CONTRACTION	5.046247999409517e-07	1.9977780551076723	167	7
GOBP_INORGANIC_ION_HOMEOSTASIS	5.384124747729211e-07	1.4899001320401757	525	13
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	5.424214177798747e-07	2.150013983383618	123	6
GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS	5.887887682601962e-07	1.8608880122156146	219	8
GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	5.906335179131729e-07	1.985249563615344	169	7
GOCC_G_PROTEIN_COUPLED_RECEPTOR_DIMERIC_COMPLEX	7.04896051781461e-07	4.175254743630096	7	2
GOBP_REGULATION_OF_SYNAPSE_STRUCTURAL_PLASTICITY	7.04896051781461e-07	4.175254743630096	7	2
GOBP_CARDIAC_MUSCLE_CONTRACTION	7.264061961795792e-07	2.1245375753091276	126	6
GOCC_NEURON_PROJECTION_TERMINUS	7.264061961796143e-07	2.124537575309123	126	6
GOBP_STARTLE_RESPONSE	8.129200892280114e-07	3.062300919624225	26	3
GOCC_TRANSPORT_VESICLE	8.5980962971797e-07	1.5776745845047906	403	11
GOBP_DENDRITIC_SPINE_MORPHOGENESIS	1.0187322383284935e-06	2.5806910254440933	54	4
GOBP_SEQUESTERING_OF_CALCIUM_ION	1.0566669370651025e-06	2.0915362465631837	130	6
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	1.1679568824671687e-06	1.8094842015601602	230	8
GOBP_REGULATION_OF_CATECHOLAMINE_UPTAKE_INVOLVED_IN_SYNAPTIC_TRANSMISSION	1.1796738298508894e-06	3.992880634086305	8	2
GOCC_PHOTORECEPTOR_RIBBON_SYNAPSE	1.1796738298508894e-06	3.992880634086305	8	2
GOBP_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	1.2768861048063853e-06	1.4389614746597874	551	13
GOBP_REGULATION_OF_ACTION_POTENTIAL	1.4344705825372302e-06	2.54136495486565	56	4
GOBP_SYNAPTIC_TRANSMISSION_GABAERGIC	1.4344705825372302e-06	2.54136495486565	56	4
GOBP_SLEEP	1.882644286070405e-06	2.939540781702636	29	3
GOCC_NMDA_SELECTIVE_GLUTAMATE_RECEPTOR_COMPLEX	1.9749870179384405e-06	3.8386773987472784	9	2
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	1.9749870179384405e-06	3.8386773987472784	9	2
GOBP_SYNAPTIC_VESICLE_BUDDING	1.9749870179384405e-06	3.8386773987472784	9	2
GOCC_G_PROTEIN_COUPLED_RECEPTOR_COMPLEX	1.9749870179384405e-06	3.8386773987472784	9	2
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	2.438673478404941e-06	2.9017478429082537	30	3
GOBP_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION	2.721392293253671e-06	2.4670462345551902	60	4
GOBP_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	2.7389844770034198e-06	2.0059611616723205	141	6
GOBP_ADULT_BEHAVIOR	2.738984477003432e-06	2.0059611616723205	141	6
GOBP_LONG_TERM_SYNAPTIC_DEPRESSION	3.1288188175170513e-06	2.8653275851578046	31	3
GOBP_VIRAL_PROTEIN_PROCESSING	3.128818817517076e-06	2.8653275851578037	31	3
GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_SIGNALING	3.2445218855550777e-06	3.705093447848756	10	2
GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	3.2445218855550777e-06	3.7050934478487565	10	2
GOBP_IMPORT_INTO_CELL	3.4233970918142518e-06	1.7263541459334488	249	8
GOBP_REGULATION_OF_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT	4.182044287528487e-06	1.617598305575716	313	9
GOBP_SYNAPSE_ORGANIZATION	4.636154985288197e-06	1.4665864069485919	448	11
GOCC_PERIKARYON	4.762141436375099e-06	1.955038423930462	148	6
GOBP_CATECHOLAMINE_UPTAKE_INVOLVED_IN_SYNAPTIC_TRANSMISSION	5.19177398504577e-06	3.5872578511558575	11	2
GOBP_CELLULAR_RESPONSE_TO_EPINEPHRINE_STIMULUS	5.191773985045782e-06	3.587257851155856	11	2
GOBP_HOMEOSTATIC_PROCESS	5.840854286658943e-06	1.0423017766797638	1581	24
GOBP_ACTIVATION_OF_GTPASE_ACTIVITY	7.306717505326139e-06	2.0968755417814746	107	5
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	7.783076619229678e-06	2.731585710528714	35	3
GOBP_REGULATION_OF_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	8.075533348474517e-06	3.4818447716987038	12	2
GOCC_DISTAL_AXON	8.509554050708786e-06	1.6533647553003	267	8
GOBP_REGULATION_OF_MUSCLE_CONTRACTION	8.573728834465742e-06	1.8998066380856369	156	6
GOCC_SARCOPLASMIC_RETICULUM	9.584030333174545e-06	2.3175363095877266	69	4
GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	1.071000198228775e-05	1.7426355114916678	213	7
GOCC_CELL_BODY	1.1445852512726372e-05	1.3495290266364117	550	12
GOBP_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT	1.1734254813280915e-05	2.6708558310941592	37	3
GOBP_REGULATION_OF_TRANSPORTER_ACTIVITY	1.182730943796422e-05	1.626323602479062	274	8
GOBP_NEURON_DEVELOPMENT	1.1904325995611897e-05	1.129124389146585	1055	18
GOBP_CELLULAR_RESPONSE_TO_MINERALOCORTICOID_STIMULUS	1.2214666141705257e-05	3.386482025331962	13	2
GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_COMMUNICATION	1.2214666141705257e-05	3.386482025331962	13	2
GOBP_MECHANOSENSORY_BEHAVIOR	1.2214666141705299e-05	3.3864820253319623	13	2
GOBP_REGULATION_OF_LONG_TERM_SYNAPTIC_DEPRESSION	1.2214666141705299e-05	3.386482025331962	13	2
GOBP_NEGATIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION	1.2214666141705365e-05	3.3864820253319614	13	2
GOBP_CELL_JUNCTION_ORGANIZATION	1.2376222621631544e-05	1.2549877242463778	711	14
GOBP_EXCRETION	1.4265831937078777e-05	2.6418156612568695	38	3
GOBP_SYNAPTIC_VESICLE_TRANSPORT	1.4265831937078827e-05	2.6418156612568686	38	3
GOBP_DOPAMINE_METABOLIC_PROCESS	1.7236854754481477e-05	2.6135921485557607	39	3
GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_MOVEMENT	1.7236854754481606e-05	2.61359214855576	39	3
GOBP_POSITIVE_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING	1.7236854754481704e-05	2.6135921485557594	39	3
GOBP_NEUROTRANSMITTER_RECEPTOR_TRANSPORT_TO_PLASMA_MEMBRANE	1.7991825370642876e-05	3.29941807901652	14	2
GOBP_RESPONSE_TO_EPINEPHRINE	1.7991825370642876e-05	3.29941807901652	14	2
GOBP_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	1.7991825370642876e-05	3.29941807901652	14	2
GOBP_DENDRITE_SELF_AVOIDANCE	1.7991825370642876e-05	3.29941807901652	14	2
GOCC_SYNAPTIC_VESICLE_MEMBRANE	1.923301904378021e-05	1.9938793406590218	118	5
GOBP_REGULATION_OF_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	2.0704798254893156e-05	2.5861405358625666	40	3
GOBP_REGULATION_OF_DENDRITIC_SPINE_MORPHOGENESIS	2.0704798254893193e-05	2.5861405358625666	40	3
GOBP_NEUROGENESIS	2.421356530082014e-05	0.9864762152849221	1584	23
GOBP_MEMORY	2.4502815633959115e-05	1.967518401706353	121	5
GOCC_DENDRITE_MEMBRANE	2.4732046856585956e-05	2.559419647504374	41	3
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL	2.4774712186970676e-05	2.2010423086424553	77	4
GOBP_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING	2.4774712186970903e-05	2.2010423086424544	77	4
GOBP_NEURON_CELL_CELL_ADHESION	2.585596834215842e-05	3.2193227992534936	15	2
GOCC_APICAL_DENDRITE	2.5855968342158556e-05	3.219322799253493	15	2
GOCC_LEADING_EDGE_MEMBRANE	2.7791746587172634e-05	1.7855243103222558	174	6
GOBP_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT	2.8255284949619906e-05	1.3388381833380525	506	11
GOBP_PROTEIN_LOCALIZATION_TO_POSTSYNAPSE	2.9386047074847685e-05	2.533391517053824	42	3
GOBP_PROTEIN_DEPHOSPHORYLATION	3.3358919157200095e-05	1.6399968956428035	235	7
GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	3.340501174127027e-05	1.9334053888330185	125	5
GOCC_PRESYNAPTIC_ACTIVE_ZONE	3.420529990188857e-05	2.1606101774832998	80	4
GOBP_ADULT_LOCOMOTORY_BEHAVIOR	3.420529990188857e-05	2.1606101774832998	80	4
GOBP_INORGANIC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	3.601662747923265e-05	1.925053713731321	126	5
GOBP_REGULATION_OF_INOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS	3.6323670419706035e-05	3.1451622522463154	16	2
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT_VIA_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL	3.6323670419706035e-05	3.1451622522463154	16	2
GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	4.176225150368772e-05	1.9085541509944586	128	5
GOCC_GABA_ERGIC_SYNAPSE	4.203136705760481e-05	2.134529189154531	82	4
GOBP_NERVOUS_SYSTEM_PROCESS	4.2694484085086396e-05	0.9906008742311492	1424	21
GOBP_COGNITION	4.404347175323273e-05	1.5144346591633158	305	8
GOBP_REGULATION_OF_CATION_CHANNEL_ACTIVITY	4.491445490940278e-05	1.900404060087071	129	5
GOBP_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION	4.647317211976656e-05	2.1217374082400546	83	4
GOBP_EXOCYTIC_PROCESS	4.6473172119766994e-05	2.1217374082400537	83	4
GOBP_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	4.7861764504718674e-05	2.4591255961278238	45	3
GOBP_CATECHOLAMINE_UPTAKE	4.997928843555975e-05	3.076116803141643	17	2
GOBP_SYNAPSE_ASSEMBLY	5.239144912935695e-05	1.7215192543674216	185	6
GOBP_DEPHOSPHORYLATION	5.339635346643438e-05	1.4974728932960641	310	8
GOBP_REGULATION_OF_EXOCYTOSIS	5.53451821651409e-05	1.7158951715815969	186	6
GOBP_RESPONSE_TO_ALCOHOL	5.550476392486806e-05	1.5922938818269874	246	7
GOBP_NEURON_RECOGNITION	5.5803024579179804e-05	2.4355424435824293	46	3
GOCC_SARCOPLASM	5.6537008192371034e-05	2.0966305874105036	85	4
GOBP_NEURON_PROJECTION_ORGANIZATION	5.653700819237136e-05	2.096630587410503	85	4
GOCC_MEMBRANE_MICRODOMAIN	5.759278646786019e-05	1.4907654343994114	312	8
GOBP_CORONARY_VASCULATURE_MORPHOGENESIS	6.747406607227519e-05	3.0115257016217996	18	2
GOBP_REGULATION_OF_NEUROTRANSMITTER_UPTAKE	6.747406607227519e-05	3.0115257016217996	18	2
GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	6.835127035154467e-05	2.072133604526852	87	4
GOBP_DENDRITIC_SPINE_DEVELOPMENT	6.835127035154528e-05	2.0721336045268512	87	4
GOBP_DENDRITE_MORPHOGENESIS	6.836658240138243e-05	1.8528338324507645	135	5
GOBP_NEUROTRANSMITTER_SECRETION	7.313307065497358e-05	1.8451180594486196	136	5
GOBP_MEMBRANE_DOCKING	7.498547267267291e-05	2.0601046444239013	88	4
GOBP_GENERATION_OF_NEURONS	8.137327406657313e-05	0.9723710905141788	1371	20
GOBP_POSITIVE_REGULATION_OF_NEURON_DEATH	8.214445362687329e-05	2.0482174149359427	89	4
GOBP_CALCIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	8.629888152274368e-05	2.3679431807438616	49	3
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	8.629888152274368e-05	2.3679431807438616	49	3
GOBP_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	8.79287787582782e-05	1.0915756881241014	894	15
GOBP_NEUROTRANSMITTER_TRANSPORT	9.839342004484073e-05	1.6559949935915756	197	6
GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING	9.903857939860957e-05	1.2436941319472024	554	11
GOBP_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVITY	9.904131416512291e-05	2.3463843092951002	50	3
GOBP_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	0.00011157235635679953	1.186681307215873	642	12
GOBP_SYNAPTIC_VESICLE_LOCALIZATION	0.00011326325223138597	2.3252782310955986	51	3
GOBP_REGULATION_OF_POSTSYNAPSE_ORGANIZATION	0.00011667798881581145	2.002021186477201	93	4
GOBP_POSITIVE_REGULATION_OF_CALCINEURIN_MEDIATED_SIGNALING	0.00011690866805908114	2.8936374969060545	20	2
GOBP_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	0.00011690866805908114	2.8936374969060545	20	2
GOBP_NEGATIVE_REGULATION_OF_CYCLASE_ACTIVITY	0.00011690866805908114	2.8936374969060545	20	2
GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE	0.0001198562774143989	1.6350565601173401	201	6
GOBP_CELLULAR_RESPONSE_TO_ALCOHOL	0.00012695914206335164	1.990795100110111	94	4
GOBP_SENSORY_PERCEPTION_OF_PAIN	0.00012695914206335164	1.990795100110111	94	4
GOBP_EXOCYTOSIS	0.0001349096967535001	1.4134973389778567	336	8
GOBP_RESPONSE_TO_ALKALOID	0.00013797318254579334	1.97969247536807	95	4
GOBP_AMIDE_TRANSPORT	0.0001394835697651967	1.41039973638438	337	8
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.000145142507901864	1.6145389459173645	205	6
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	0.0001451425079018644	1.6145389459173645	205	6
GOBP_INOSITOL_PHOSPHATE_METABOLIC_PROCESS	0.0001466442199942916	2.2843508902492022	53	3
GOBP_VISUAL_BEHAVIOR	0.0001466442199942916	2.2843508902492022	53	3
GOBP_CATECHOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	0.0001466442199942971	2.2843508902491956	53	3
GOCC_CELL_PROJECTION_MEMBRANE	0.00014903051041659666	1.4042321827734432	339	8
GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS	0.0001497592458993254	1.968710613493649	96	4
GOBP_STRIATUM_DEVELOPMENT	0.00015046492535272985	2.839517686958109	21	2
GOBP_REGULATION_OF_RECEPTOR_LOCALIZATION_TO_SYNAPSE	0.00015046492535272985	2.839517686958109	21	2
GOBP_CALCIUM_ION_REGULATED_EXOCYTOSIS_OF_NEUROTRANSMITTER	0.00015046492535272985	2.839517686958109	21	2
GOBP_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION	0.00015046492535272985	2.839517686958109	21	2
GOBP_SKELETAL_MUSCLE_ADAPTATION	0.00015046492535272985	2.839517686958109	21	2
GOBP_RENAL_SODIUM_EXCRETION	0.00015046492535272985	2.839517686958109	21	2
GOBP_REGULATION_OF_RECEPTOR_BINDING	0.00015046492535272985	2.839517686958109	21	2
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	0.0001624346077121336	0.9713713196142704	1221	18
GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	0.00017370552712456635	1.1527497766003982	663	12
GOCC_POSTSYNAPTIC_DENSITY_MEMBRANE	0.00017581047791850527	1.9470988172267032	98	4
GOBP_REGULATION_OF_GTPASE_ACTIVITY	0.0001869723041406558	1.3829303211031752	346	8
GOBP_MUSCLE_ADAPTATION	0.00019016043184478843	1.9364639081918364	99	4
GOBP_NEGATIVE_REGULATION_OF_LYASE_ACTIVITY	0.00019108596885929912	2.788171801127172	22	2
GOBP_POSTSYNAPTIC_DENSITY_ASSEMBLY	0.00019108596885929912	2.7881718011271714	22	2
GOBP_NOREPINEPHRINE_TRANSPORT	0.00019108596885930015	2.7881718011271714	22	2
GOBP_REGULATION_OF_EXCRETION	0.00019108596885930015	2.7881718011271714	22	2
GOBP_CELL_JUNCTION_ASSEMBLY	0.00021638765245922764	1.2954884105169007	426	9
GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	0.00022235085598920436	1.2930394840011723	427	9
GOBP_CATECHOLAMINE_SECRETION	0.0002369647270383078	2.2071791231613926	57	3
GOBP_NEUROTRANSMITTER_RECEPTOR_TRANSPORT	0.00023971551795853155	2.7393290427483508	23	2
GOBP_REGULATION_OF_VESICLE_FUSION	0.00023971551795853155	2.7393290427483508	23	2
GOBP_AMINE_TRANSPORT	0.0002574396989484444	1.8950097229579437	103	4
GOCC_NEURON_PROJECTION_MEMBRANE	0.000265312367427595	2.1887772960661946	58	3
GOCC_TRANSPORT_VESICLE_MEMBRANE	0.00027175677572285764	1.5458080314968514	219	6
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS	0.00027696769076439293	1.884906573457389	104	4
