ontology	P	Beta	genes_in_set	overlapping_genes
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	1.30631308239555e-10	2.289994535622183	109	9
GOBP_CELL_CELL_SIGNALING	1.7234786029504334e-10	1.15609075885422	1595	40
GOCC_POSTSYNAPTIC_MEMBRANE	1.7453714976227852e-10	1.820970156897168	268	14
GOCC_POSTSYNAPTIC_SPECIALIZATION	2.4238795685248615e-10	1.6945733676622952	348	16
GOBP_DEPHOSPHORYLATION	2.59762564111144e-10	1.7441351557194553	310	15
GOCC_SOMATODENDRITIC_COMPARTMENT	2.9681173015189506e-10	1.3547955301059225	813	26
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	3.432129005146831e-10	2.1142568764350047	143	10
GOBP_CALCIUM_MEDIATED_SIGNALING	5.898419339770288e-10	1.9859810942357914	178	11
GOBP_NEURON_DEVELOPMENT	7.380062300639583e-10	1.246647902303997	1055	30
GOBP_REGULATION_OF_DEPHOSPHORYLATION	7.460499744948892e-10	2.1850514762616036	120	9
GOCC_NEURON_TO_NEURON_SYNAPSE	7.843889659716318e-10	1.6437239810682758	365	16
GOCC_DENDRITIC_TREE	8.155097540966673e-10	1.4493669645749643	588	21
GOBP_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	1.3407533203585386e-09	1.461897612902706	551	20
GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	1.8995220084288078e-09	2.6466240158836247	52	6
GOCC_DISTAL_AXON	3.4896275909003707e-09	1.740892017756943	267	13
GOCC_PLASMA_MEMBRANE_REGION	4.466257580994886e-09	1.1562029689597737	1233	32
GOBP_CALCIUM_ION_HOMEOSTASIS	7.087196268255602e-09	1.6453097363594025	316	14
GOBP_REGULATION_OF_RECEPTOR_BINDING	8.737673842344678e-09	3.22675431244028	21	4
GOBP_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	1.651674868070239e-08	2.732478815169444	40	5
GOCC_AXON	2.143626357181426e-08	1.3480974970372774	613	20
GOBP_BEHAVIOR	3.474991294132628e-08	1.3274103056672182	625	20
GOBP_FOREBRAIN_NEURON_DIFFERENTIATION	3.769239494733202e-08	2.650082284358402	43	5
GOBP_SYNAPSE_ASSEMBLY	3.791547981157161e-08	1.8375881241844687	185	10
GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	6.125027161610117e-08	2.16706996633276	94	7
GOBP_BRANCHING_MORPHOGENESIS_OF_A_NERVE	6.174098647056547e-08	3.687684920718195	11	3
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	7.597042766127034e-08	1.712134124531533	230	11
GOCC_MEMBRANE_MICRODOMAIN	8.164044971080257e-08	1.5753757138866715	312	13
GOBP_CARDIAC_CONDUCTION	8.213261745219267e-08	2.1442358054902253	96	7
GOBP_SYNAPSE_ORGANIZATION	8.603817598640716e-08	1.4259034992149369	448	16
GOBP_SYNAPTIC_MEMBRANE_ADHESION	8.988935241675183e-08	2.9241568512865252	27	4
GOBP_POSTSYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION	8.988935241675233e-08	2.9241568512865244	27	4
GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION	9.330229756412228e-08	2.3154308038579936	70	6
GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC	9.452207136663925e-08	1.9914537854771097	127	8
GOBP_LOCOMOTORY_BEHAVIOR	1.1047476950949448e-07	1.7706268776448686	197	10
GOBP_PROTEIN_DEPHOSPHORYLATION	1.1120714670126334e-07	1.6892931429356663	235	11
GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING	1.1856812097748914e-07	1.6157653505643896	276	12
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT	1.316867875542166e-07	1.330715061481228	556	18
GOCC_SITE_OF_POLARIZED_GROWTH	1.4217805186868882e-07	1.8488209791481636	164	9
GOBP_REGULATION_OF_HEART_RATE	1.4416503637920044e-07	2.100060828882573	100	7
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1.5792828535469704e-07	2.2694625922386114	73	6
GOBP_REGULATION_OF_LONG_TERM_SYNAPTIC_DEPRESSION	1.7065561045234956e-07	3.464435900859882	13	3
GOBP_SIGNAL_PEPTIDE_PROCESSING	1.7065561045234956e-07	3.464435900859882	13	3
GOCC_RIBBON_SYNAPSE	1.706556104523501e-07	3.464435900859882	13	3
GOBP_HEART_PROCESS	1.728987671701503e-07	1.662539800508682	241	11
GOCC_CALCIUM_CHANNEL_COMPLEX	1.870447094763681e-07	2.2545946089951787	74	6
GOBP_REGULATION_OF_CALCIUM_ION_TRANSPORT	1.99557217080083e-07	1.6537750198742107	243	11
GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT	2.110873070591753e-07	1.1959178681730924	784	22
GOBP_ACTION_POTENTIAL	2.3248622217367523e-07	1.9259657664247034	135	8
GOBP_HEAD_DEVELOPMENT	2.545357061077514e-07	1.1877451471269451	790	22
GOCC_HISTONE_DEACETYLASE_COMPLEX	2.6006357337860843e-07	2.225501268810185	76	6
GOCC_ION_CHANNEL_COMPLEX	2.7360563241777815e-07	1.5670018160888026	289	12
GOBP_REGULATION_OF_NEUROTRANSMITTER_SECRETION	3.0534892214846097e-07	2.2112637279641794	77	6
GOCC_CAVEOLA	3.0534892214846097e-07	2.2112637279641794	77	6
GOBP_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING	3.0534892214846727e-07	2.2112637279641785	77	6
GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	3.053700128338797e-07	1.4038030697363322	427	15
GOBP_FOREBRAIN_GENERATION_OF_NEURONS	3.1385281911504886e-07	2.4370453939915424	52	5
GOBP_LONG_TERM_SYNAPTIC_DEPRESSION	3.2590919932079747e-07	2.7636030859944296	31	4
GOBP_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	3.2590919932079884e-07	2.763603085994429	31	4
GOCC_PLASMA_MEMBRANE_RAFT	3.5958133587450786e-07	2.0271192849402038	107	7
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	3.88745169285698e-07	1.779673559003242	175	9
GOBP_REGULATION_OF_CELL_GROWTH_INVOLVED_IN_CARDIAC_MUSCLE_CELL_DEVELOPMENT	4.413099069846092e-07	3.2820088643970378	15	3
GOBP_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	4.6238912563280365e-07	1.2396264812315567	642	19
GOCC_EXOCYTIC_VESICLE	4.6350939431843973e-07	1.6777668446442486	215	10
GOBP_MONOATOMIC_ION_HOMEOSTASIS	5.457265182871758e-07	1.2621944031178352	593	18
GOBP_CELL_PROJECTION_ORGANIZATION	5.73737202230825e-07	0.9839373694019955	1442	32
GOCC_GLUTAMATERGIC_SYNAPSE	6.754215490407154e-07	1.40602198930742	396	14
GOBP_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY	7.001215315753829e-07	2.355155980003383	56	5
GOBP_INTRACELLULAR_MONOATOMIC_ION_HOMEOSTASIS	7.168838286623412e-07	1.3179506295453782	496	16
GOBP_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION	7.571144868788742e-07	2.1298206892344456	83	6
GOBP_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION	7.647124169372475e-07	2.6580842046699553	34	4
GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	7.892392005924764e-07	1.0950243510610338	947	24
GOCC_CATION_CHANNEL_COMPLEX	8.972953183749567e-07	1.7206454657073178	185	9
GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_SIGNALING	1.0493330266436432e-06	3.127752693773753	17	3
GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL	1.2306136192226946e-06	1.6979597759713079	189	9
GOBP_BRAIN_MORPHOGENESIS	1.2892584377348114e-06	2.593440092486404	36	4
GOBP_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION	1.4566873253291113e-06	2.279436999829143	60	5
GOBP_MONOATOMIC_CATION_TRANSPORT	1.6042172213771363e-06	1.0635869859725224	975	24
GOBP_CELLULAR_HOMEOSTASIS	2.056738791772153e-06	1.1399122156513861	745	20
GOBP_REGULATION_OF_HEART_CONTRACTION	2.0890115422921425e-06	1.6594354416762513	196	9
GOBP_HOMEOSTATIC_PROCESS	2.188361871959505e-06	0.9201800787254341	1581	33
GOBP_INORGANIC_ION_HOMEOSTASIS	2.199431606064785e-06	1.2577192401844228	525	16
GOBP_POSITIVE_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING	2.655810564872037e-06	2.503669526319555	39	4
GOBP_REGULATION_OF_BLOOD_CIRCULATION	3.100582913414316e-06	1.5482452755013503	243	10
GOBP_POSITIVE_REGULATION_OF_CALCINEURIN_MEDIATED_SIGNALING	3.306179492823017e-06	2.933438422270242	20	3
GOBP_MEMBRANE_DEPOLARIZATION_DURING_AV_NODE_CELL_ACTION_POTENTIAL	3.3454178269449676e-06	4.257710432777806	5	2
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	4.113248683663135e-06	1.9731281912667349	96	6
GOBP_CELL_JUNCTION_ORGANIZATION	4.126791878135813e-06	1.1308195333245281	711	19
GOBP_SEQUESTERING_OF_CALCIUM_ION	4.357384780830006e-06	1.8188856355394232	130	7
GOBP_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION	4.672929422814034e-06	2.8762272505099995	21	3
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	4.782580982921815e-06	1.2922349938935676	441	14
GOBP_CELL_MORPHOGENESIS	4.887472370275533e-06	1.051415822440671	897	22
GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_PHOSPHATASE_SIGNALING_PATHWAY	4.947649692802896e-06	3.969975641344541	6	2
GOBP_POSITIVE_REGULATION_OF_TAU_PROTEIN_KINASE_ACTIVITY	4.947649692802896e-06	3.969975641344541	6	2
GOBP_T_FOLLICULAR_HELPER_CELL_DIFFERENTIATION	4.947649692802906e-06	3.9699756413445404	6	2
GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	5.191484476903194e-06	1.6869426662906115	169	8
GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	5.200172040983854e-06	1.0095678722164394	1025	24
GOCC_CELL_BODY	5.32488214465275e-06	1.2084164407375468	550	16
GOBP_MONOATOMIC_ION_TRANSPORT	5.514351960412223e-06	0.973068403360819	1157	26
GOBP_NEGATIVE_REGULATION_OF_DEPHOSPHORYLATION	6.308840098704052e-06	2.395244692668768	43	4
GOCC_TRANSPORTER_COMPLEX	6.3160639390486884e-06	1.3206143156754198	397	13
GOBP_POSTSYNAPTIC_DENSITY_ASSEMBLY	6.49678239730039e-06	2.8221072685358846	22	3
GOBP_PHYSIOLOGICAL_CARDIAC_MUSCLE_HYPERTROPHY	6.49678239730039e-06	2.8221072685358846	22	3
GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	7.711788424695025e-06	2.369874065458263	44	4
GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	7.943189487379485e-06	1.1855422622631717	562	16
GOCC_G_PROTEIN_COUPLED_RECEPTOR_DIMERIC_COMPLEX	8.183455406640297e-06	3.746779368269413	7	2
GOBP_REGULATION_OF_SYNAPSE_STRUCTURAL_PLASTICITY	8.183455406640325e-06	3.746779368269413	7	2
GOBP_DEVELOPMENTAL_CELL_GROWTH	8.710142603155529e-06	1.5518874402697955	217	9
GOBP_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY	8.89425269069329e-06	2.770761210660657	23	3
GOBP_MUSCLE_SYSTEM_PROCESS	9.156113610473748e-06	1.2969629557951883	406	13
GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS	9.867993446121657e-06	1.5422113964911934	219	9
GOBP_REGULATION_OF_MUSCLE_ADAPTATION	1.2285695925639832e-05	2.051923331408853	74	5
GOBP_CELL_PART_MORPHOGENESIS	1.2412352952812196e-05	1.1278117282132245	633	17
GOCC_PHOTORECEPTOR_RIBBON_SYNAPSE	1.3792457118669407e-05	3.564405086934809	8	2
GOBP_REGULATION_OF_GERMINAL_CENTER_FORMATION	1.3792457118669407e-05	3.564405086934809	8	2
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_BINDING	1.3792457118669407e-05	3.564405086934809	8	2
GOBP_REGULATION_OF_CATECHOLAMINE_UPTAKE_INVOLVED_IN_SYNAPTIC_TRANSMISSION	1.3792457118669407e-05	3.564405086934809	8	2
GOCC_CHROMATIN	1.4574430561928333e-05	0.9279059006928337	1206	26
GOBP_REGULATION_OF_SYNAPSE_ASSEMBLY	1.5089366506684127e-05	1.847329320382866	108	6
GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1.6308870434790083e-05	2.2743525808459695	48	4
GOBP_CHEMICAL_HOMEOSTASIS	1.7927120204347794e-05	0.9862811983138184	953	22
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL	1.808510878660992e-05	2.009204999427628	77	5
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	1.9323818350368272e-05	0.9144307226593077	1221	26
GOBP_CELL_JUNCTION_ASSEMBLY	1.9918239988468495e-05	1.2462479106755473	426	13
GOBP_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	1.9929411878268764e-05	1.0010250337588649	894	21
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	2.047854494852965e-05	1.9953587658425926	78	5
GOBP_GAMMA_AMINOBUTYRIC_ACID_SIGNALING_PATHWAY	2.1006423519505712e-05	2.6308409611164927	26	3
GOBP_STARTLE_RESPONSE	2.1006423519505712e-05	2.6308409611164927	26	3
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	2.2882118984312314e-05	3.4102016797868764	9	2
GOBP_CALCIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE	2.2882118984312314e-05	3.4102016797868764	9	2
GOCC_NMDA_SELECTIVE_GLUTAMATE_RECEPTOR_COMPLEX	2.2882118984312314e-05	3.4102016797868764	9	2
GOBP_SYNAPTIC_VESICLE_BUDDING	2.2882118984312314e-05	3.4102016797868764	9	2
GOCC_G_PROTEIN_COUPLED_RECEPTOR_COMPLEX	2.2882118984312314e-05	3.4102016797868764	9	2
GOCC_T_TUBULE	2.3028635444834623e-05	2.229795149125146	50	4
GOCC_PRESYNAPTIC_ACTIVE_ZONE	2.608694293958462e-05	1.9682242621496782	80	5
GOBP_SYNAPTIC_VESICLE_LOCALIZATION	2.7182682345390492e-05	2.208236105141652	51	4
GOBP_CEREBRAL_CORTEX_NEURON_DIFFERENTIATION	2.729191975361384e-05	2.5882285720717193	27	3
GOBP_REGULATION_OF_PROTEIN_BINDING	2.7841581251103154e-05	1.546714542371031	193	8
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	2.8796521209147863e-05	1.1091523005291082	604	16
GOCC_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	3.195113568013828e-05	2.1871298543892075	52	4
GOBP_TRANSMEMBRANE_TRANSPORT	3.258935744033182e-05	0.849582806427526	1460	29
GOCC_GABA_ERGIC_SYNAPSE	3.2956285446921926e-05	1.9418011113258542	82	5
GOBP_REGULATION_OF_METAL_ION_TRANSPORT	3.311414640969126e-05	1.2588374652645458	387	12
GOBP_REPLACEMENT_OSSIFICATION	3.50683480883146e-05	2.5473538001401836	28	3
GOBP_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY	3.50683480883146e-05	2.5473538001401836	28	3
GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH_INVOLVED_IN_CARDIAC_MUSCLE_CELL_DEVELOPMENT	3.690357349642361e-05	3.276617557061364	10	2
GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_SIGNALING	3.690357349642382e-05	3.276617557061363	10	2
GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	3.690357349642382e-05	3.276617557061363	10	2
GOBP_EXOCYTIC_PROCESS	3.693189254598451e-05	1.928844781035438	83	5
GOBP_NEGATIVE_REGULATION_OF_RNA_BIOSYNTHETIC_PROCESS	3.699138749498086e-05	0.8827229189784344	1257	26
GOCC_SYNAPTIC_VESICLE_MEMBRANE	3.8391624540975284e-05	1.7532731801968977	118	6
GOBP_POSITIVE_REGULATION_OF_PROTEIN_BINDING	4.1307785635537016e-05	1.9160528270022437	84	5
GOBP_SLEEP	4.4596126344552175e-05	2.508080306790024	29	3
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	4.563512646802371e-05	0.9563159216533029	932	21
GOBP_NEURON_PROJECTION_ORGANIZATION	4.6115902856502825e-05	1.9034211137380759	85	5
GOBP_MEMORY	4.96826290164648e-05	1.7266808436682155	121	6
GOBP_KERATINOCYTE_PROLIFERATION	5.067376175577603e-05	2.1263466911534956	55	4
GOBP_LONG_TERM_SYNAPTIC_POTENTIATION	5.1390000574572956e-05	1.8909456598803656	86	5
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	5.616397618060547e-05	2.4702871958243957	30	3
GOBP_MACROPHAGE_APOPTOTIC_PROCESS	5.765427611144854e-05	3.158781788523381	11	2
GOBP_CELLULAR_RESPONSE_TO_EPINEPHRINE_STIMULUS	5.765427611144898e-05	3.1587817885233807	11	2
GOBP_REGULATION_OF_TAU_PROTEIN_KINASE_ACTIVITY	5.765427611144898e-05	3.1587817885233807	11	2
GOBP_REGULATION_OF_POSTSYNAPTIC_DENSITY_ASSEMBLY	5.765427611144898e-05	3.1587817885233807	11	2
GOBP_CEREBRAL_CORTEX_GABAERGIC_INTERNEURON_DIFFERENTIATION	5.765427611144898e-05	3.1587817885233807	11	2
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_BINDING	5.765427611144898e-05	3.1587817885233807	11	2
GOBP_CATECHOLAMINE_UPTAKE_INVOLVED_IN_SYNAPTIC_TRANSMISSION	5.765427611144898e-05	3.1587817885233807	11	2
GOBP_SYNAPTIC_TRANSMISSION_GABAERGIC	5.86589843826921e-05	2.1068757525705024	56	4
GOBP_REGULATION_OF_ACTION_POTENTIAL	5.86589843826921e-05	2.1068757525705024	56	4
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	5.8693624393776905e-05	1.7093329701992444	123	6
GOBP_MEMBRANE_DOCKING	6.348057097415742e-05	1.8664483306311719	88	5
GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	6.906314274782489e-05	1.692277333599596	125	6
GOBP_MACROMOLECULE_DEACYLATION	6.906314274782489e-05	1.6922773335995958	125	6
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION	7.0089721439467e-05	2.433866765884551	31	3
GOBP_VIRAL_PROTEIN_PROCESSING	7.0089721439467e-05	2.433866765884551	31	3
GOBP_CARDIAC_MUSCLE_CONTRACTION	7.480736421495623e-05	1.6838560405661196	126	6
GOBP_REGULATION_OF_HEART_GROWTH	7.77979116685596e-05	2.069029710754901	58	4
GOCC_NEURON_PROJECTION_MEMBRANE	7.779791166856005e-05	2.069029710754901	58	4
GOBP_NEURON_MIGRATION	8.399846062886134e-05	1.5476475689493425	168	7
GOCC_SCHAFFER_COLLATERAL_CA1_SYNAPSE	8.606552510790595e-05	1.8307828069654517	91	5
GOBP_RESPONSE_TO_FLUID_SHEAR_STRESS	8.672090420276806e-05	2.39872265751783	32	3
GOBP_EXCITATORY_SYNAPSE_ASSEMBLY	8.672090420276806e-05	2.39872265751783	32	3
GOBP_REGULATION_OF_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	8.727656427213451e-05	3.0533685372030486	12	2
GOCC_L_TYPE_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	8.727656427213451e-05	3.0533685372030486	12	2
GOBP_REGULATION_OF_TRANSPORT	8.753268887587637e-05	0.7805429037481751	1672	31
GOBP_POSITIVE_REGULATION_OF_DEPHOSPHORYLATION	8.915735407603328e-05	2.0506277109792577	59	4
GOBP_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION	0.00010185802150956933	2.0325563415746775	60	4
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	0.00010383238306356602	0.8049146742583384	1463	28
GOBP_REGULATION_OF_POSTSYNAPSE_ORGANIZATION	0.00010459743175848675	1.8076873845839176	93	5
GOBP_REGULATION_OF_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT	0.00010493165782617113	1.2818084042193447	313	10
GOCC_PRESYNAPTIC_ACTIVE_ZONE_MEMBRANE	0.00010643521616480029	2.3647683144999174	33	3
GOBP_CELLULAR_RESPONSE_TO_ALCOHOL	0.00011504970972074573	1.7963348730453896	94	5
GOBP_SENSORY_PERCEPTION_OF_PAIN	0.00011504970972074573	1.7963348730453896	94	5
GOBP_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS	0.0001191874581390811	1.3377346359660722	266	9
GOCC_MEMBRANE_PROTEIN_COMPLEX	0.00012010965011124618	0.8666293855680512	1117	23
GOCC_SARCOLEMMA	0.0001275703330516458	1.626789314547185	133	6
GOBP_CELLULAR_RESPONSE_TO_MINERALOCORTICOID_STIMULUS	0.00012824722420386525	2.9580056189550237	13	2
GOBP_NEGATIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION	0.00012824722420386566	2.9580056189550237	13	2
GOBP_MECHANOSENSORY_BEHAVIOR	0.00012824722420386566	2.9580056189550237	13	2
GOBP_REGULATION_OF_POSTSYNAPTIC_DENSITY_ORGANIZATION	0.00012824722420386682	2.958005618955023	13	2
GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_COMMUNICATION	0.00012824722420386682	2.958005618955023	13	2
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GABAERGIC	0.00012964074551251192	2.3319256975476206	34	3
GOBP_POSITIVE_REGULATION_OF_NEUROGENESIS	0.0001435529616996347	1.3995495392290889	222	8
GOBP_DENDRITE_MORPHOGENESIS	0.00014744137947113713	1.6110578620653584	135	6
GOBP_VESICLE_DOCKING	0.0001492329469702598	1.980211979928798	63	4
GOBP_DEVELOPMENTAL_GROWTH	0.00015616112911700781	1.0315741737713402	607	15
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	0.00015677604179371537	2.3001242023163666	35	3
GOBP_NEUROTRANSMITTER_SECRETION	0.00015831627870124652	1.6032827444575746	136	6
GOCC_POSTSYNAPTIC_DENSITY_MEMBRANE	0.00016601608982253386	1.7521598964377338	98	5
GOBP_VIRAL_GENE_EXPRESSION	0.00016601608982253423	1.7521598964377336	98	5
GOBP_REGULATION_OF_TRANSPORTER_ACTIVITY	0.0001697653363104206	1.3066533388854507	274	9
GOBP_CELLULAR_COMPONENT_MORPHOGENESIS	0.00017275901349919008	0.9675702875737537	736	17
GOBP_MUSCLE_ADAPTATION	0.00018133772543898078	1.7414116370108337	99	5
GOBP_GERMINAL_CENTER_FORMATION	0.00018335823801291317	2.8709415007402046	14	2
GOBP_DENDRITE_SELF_AVOIDANCE	0.00018335823801291317	2.8709415007402046	14	2
GOBP_NEUROTRANSMITTER_RECEPTOR_TRANSPORT_TO_PLASMA_MEMBRANE	0.0001833582380129137	2.870941500740204	14	2
GOBP_RESPONSE_TO_EPINEPHRINE	0.0001833582380129137	2.870941500740204	14	2
GOBP_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	0.0001833582380129137	2.870941500740204	14	2
GOBP_REGULATION_OF_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY	0.0001833582380129137	2.870941500740204	14	2
GOBP_DENDRITE_DEVELOPMENT	0.00019321067319856382	1.3715780932064336	228	8
GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	0.0001965538039483241	1.2294927037511023	329	10
GOBP_ADULT_BEHAVIOR	0.0002233571985139454	1.5652770166483296	141	6
GOBP_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	0.0002233571985139454	1.5652770166483296	141	6
GOBP_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT	0.0002247415929611005	2.2393939783033083	37	3
GOCC_PLASMA_MEMBRANE_PROTEIN_COMPLEX	0.00022749583560732636	1.0380784318340592	561	14
GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	0.0002383985357943588	0.9222602398948864	816	18
GOBP_CARDIOCYTE_DIFFERENTIATION	0.00023873811172792742	1.5578438209319336	142	6
GOBP_REGULATION_OF_EXCITATORY_SYNAPSE_ASSEMBLY	0.00025569020353759654	2.790846049059693	15	2
GOBP_PEPTIDYL_SERINE_DEPHOSPHORYLATION	0.00025569020353759654	2.790846049059693	15	2
GOCC_APICAL_DENDRITE	0.0002556902035375972	2.790846049059693	15	2
GOBP_NEURON_CELL_CELL_ADHESION	0.0002556902035375972	2.790846049059693	15	2
GOBP_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT	0.0002588258240223788	1.064866435193015	506	13
