ontology	P	Beta	genes_in_set	overlapping_genes
GOBP_REGULATION_OF_CELL_GROWTH_INVOLVED_IN_CARDIAC_MUSCLE_CELL_DEVELOPMENT	3.1880262240267396e-07	3.9415949097942016	15	2
GOBP_REGULATION_OF_EXCITATORY_SYNAPSE_ASSEMBLY	3.1880262240267396e-07	3.9415949097942016	15	2
GOCC_SPINDLE_POLE	3.37841269812062e-07	2.4195236231637414	161	5
GOCC_PRESYNAPTIC_MEMBRANE	3.620666029232521e-07	2.413081019784422	162	5
GOBP_REGULATION_OF_DENDRITE_DEVELOPMENT	4.828253384009482e-07	2.6562865483290787	101	4
GOBP_PRESYNAPSE_ORGANIZATION	5.412058140020099e-07	3.056671971779061	51	3
GOBP_NEURON_MIGRATION	5.421591921879551e-07	2.3752597340729724	168	5
GOBP_HEAD_DEVELOPMENT	5.491802209954554e-07	1.684158891232651	790	11
GOBP_FOREBRAIN_GENERATION_OF_NEURONS	6.356652527957191e-07	3.0360001787350406	52	3
GOBP_POSITIVE_REGULATION_OF_DENDRITE_DEVELOPMENT	6.719471580206873e-07	3.7983892443504947	17	2
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	8.477405698790524e-07	2.332841665570603	175	5
GOBP_REGULATION_OF_SYNAPSE_ASSEMBLY	9.276080555855955e-07	2.586238080552378	108	4
GOBP_NEGATIVE_REGULATION_OF_RNA_BIOSYNTHETIC_PROCESS	1.1204479182126992e-06	1.4969265563817837	1257	14
GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION	1.311524755602397e-06	3.6731212686047	19	2
GOBP_CELLULAR_RESPONSE_TO_FLUID_SHEAR_STRESS	1.3115247556024092e-06	3.6731212686046995	19	2
GOBP_ENDOCHONDRAL_BONE_MORPHOGENESIS	1.3479975991701125e-06	2.938573859714042	57	3
GOCC_DISTAL_AXON	1.3942042618987829e-06	2.1003130775479866	267	6
GOBP_MITOTIC_METAPHASE_PLATE_CONGRESSION	1.5516246041337603e-06	2.9201721986581672	58	3
GOBP_REGULATION_OF_HEART_GROWTH	1.5516246041337886e-06	2.920172198658166	58	3
GOBP_EMBRYONIC_MORPHOGENESIS	1.6954181194225537e-06	1.7449055736100951	591	9
GOBP_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY	1.7807383202097745e-06	2.902101168009065	59	3
GOBP_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1.786356451092237e-06	3.615910434247346	20	2
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	2.0378567647999645e-06	2.8843490630042	60	3
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	2.302924482822663e-06	1.7221121219138307	604	9
GOBP_VESICLE_TARGETING	2.6470825542553644e-06	2.849757822843838	62	3
GOBP_OSSIFICATION	3.06614358623276e-06	1.8942108457299829	386	7
GOBP_NEGATIVE_REGULATION_OF_CARDIAC_MUSCLE_TISSUE_GROWTH	3.169273072603519e-06	3.510445069310257	22	2
GOBP_POSTSYNAPTIC_DENSITY_ASSEMBLY	3.1692730726035495e-06	3.510445069310256	22	2
GOBP_PHYSIOLOGICAL_CARDIAC_MUSCLE_HYPERTROPHY	3.1692730726035495e-06	3.510445069310256	22	2
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	3.763153417674509e-06	1.4590891155120653	1190	13
GOCC_AXONAL_GROWTH_CONE	4.137161794523139e-06	3.4616024763784066	23	2
GOCC_GLUTAMATERGIC_SYNAPSE	4.188309278609047e-06	1.8676332336376877	396	7
GOCC_POSTSYNAPSE	4.500438489636494e-06	1.671298852047582	634	9
GOBP_NEURON_DEVELOPMENT	4.83337328109523e-06	1.4858589569656344	1055	12
GOBP_NEURON_FATE_COMMITMENT	4.872736408141585e-06	2.768149474863484	67	3
GOBP_TISSUE_MIGRATION	5.27824502269839e-06	1.979499937155296	300	6
GOBP_MELANOCYTE_DIFFERENTIATION	5.335462816660235e-06	3.4150300292321543	24	2
GOBP_LIVER_MORPHOGENESIS	5.335462816660235e-06	3.4150300292321543	24	2
GOBP_ENDOTHELIAL_CELL_MIGRATION	5.484423084034496e-06	2.148721832521162	209	5
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	7.085404731495913e-06	1.5089264807164309	932	11
GOBP_DENDRITE_MORPHOGENESIS	7.399875240113145e-06	2.3540088438266813	135	4
GOBP_METAPHASE_PLATE_CONGRESSION	7.6280751851074325e-06	2.7073146365232534	71	3
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	7.66237167430102e-06	1.3151264374200777	1750	16
GOBP_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	8.386163378332135e-06	2.105073104558932	218	5
GOBP_VASCULAR_ENDOTHELIAL_CELL_PROLIFERATION	8.585380131666302e-06	3.3279137809719193	26	2
GOBP_SKELETAL_SYSTEM_MORPHOGENESIS	8.777978375407331e-06	2.1003362905474643	219	5
GOBP_CEREBRAL_CORTEX_NEURON_DIFFERENTIATION	1.0728300792577535e-05	3.2870393466918184	27	2
GOCC_HISTONE_DEACETYLASE_COMPLEX	1.2790869786678599e-05	2.6361000677374102	76	3
GOBP_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY	1.3284406372274205e-05	3.247766191028629	28	2
GOBP_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	1.3924157298171837e-05	2.2799187948355533	145	4
GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	1.4445834650302003e-05	1.883883637119743	329	6
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_HYPERTROPHY	1.6309945350841237e-05	3.2099734177855117	29	2
GOBP_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION	1.7086673422548457e-05	2.595668435746021	79	3
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	1.7535686724916635e-05	1.3544570556343352	1311	13
GOBP_SYNAPSE_ORGANIZATION	1.7887019780154206e-05	1.7393838250716	448	7
GOBP_HEART_GROWTH	1.8758946959551e-05	2.5825437710315486	80	3
GOBP_ANIMAL_ORGAN_MORPHOGENESIS	2.0167095318760092e-05	1.4318126769364348	1002	11
GOBP_NEGATIVE_REGULATION_OF_ORGAN_GROWTH	2.4015885704423116e-05	3.1384095550305875	31	2
GOBP_EXCITATORY_SYNAPSE_ASSEMBLY	2.8830361898629947e-05	3.104455549841818	32	2
GOBP_RESPONSE_TO_FLUID_SHEAR_STRESS	2.8830361898629947e-05	3.104455549841818	32	2
GOBP_CHROMOSOME_LOCALIZATION	3.186888563203754e-05	2.507193028127993	86	3
GOBP_REGULATION_OF_ORGAN_GROWTH	3.186888563203754e-05	2.507193028127993	86	3
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	3.310860367220853e-05	1.2751119556396895	1541	14
GOBP_POSITIVE_REGULATION_OF_3_UTR_MEDIATED_MRNA_STABILIZATION	3.4260975474128686e-05	5.103434487019422	3	1
GOBP_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	3.464831557089306e-05	2.4951642345721243	87	3
GOBP_POSITIVE_REGULATION_OF_NEURON_DIFFERENTIATION	3.762286409326168e-05	2.4832771716488	88	3
GOBP_CELL_MORPHOGENESIS	3.989577534651001e-05	1.432481227077807	897	10
GOBP_CELL_MOTILITY	4.002181076579211e-05	1.2616638729836733	1560	14
GOBP_NEGATIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION	4.074967399004583e-05	3.0398121134232454	34	2
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	4.074967399004583e-05	3.0398121134232454	34	2
GOBP_INTERLEUKIN_21_PRODUCTION	4.479756085556295e-05	5.796634044167042	2	1
GOBP_TELENCEPHALON_DEVELOPMENT	4.570903034683829e-05	1.922874788876778	260	5
GOCC_SCHAFFER_COLLATERAL_CA1_SYNAPSE	4.782106001881284e-05	2.4484337812260133	91	3
GOBP_PIGMENT_CELL_DIFFERENTIATION	4.801413133464173e-05	3.00898799298799	35	2
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	4.9231145094032184e-05	1.3183800471576157	1233	12
GOCC_MITOTIC_SPINDLE	5.1071005679264065e-05	2.1214661185930526	169	4
GOBP_REGULATION_OF_CALCIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE	5.291039590539707e-05	4.697916999580132	4	1
GOBP_C_5_METHYLATION_OF_CYTOSINE	5.291039590539707e-05	4.697916999580132	4	1
GOBP_REGULATION_OF_ARTERY_MORPHOGENESIS	5.291039590539707e-05	4.697916999580132	4	1
GOBP_REGULATION_OF_3_UTR_MEDIATED_MRNA_STABILIZATION	5.291039590539707e-05	4.697916999580132	4	1
GOBP_REGULATION_PROTEIN_CATABOLIC_PROCESS_AT_SYNAPSE	5.291039590539707e-05	4.697916999580132	4	1
GOBP_REGULATION_OF_POSTSYNAPSE_ORGANIZATION	5.579169254150272e-05	2.425855689909506	93	3
GOCC_SPINDLE_MIDZONE	5.62617678559749e-05	2.979082565317432	36	2
GOBP_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	6.0163250389676495e-05	2.4147532318374663	94	3
GOBP_BONE_MORPHOGENESIS	6.016325038967731e-05	2.414753231837466	94	3
GOBP_EMBRYO_DEVELOPMENT	6.11473089873069e-05	1.345800357055535	1086	11
GOCC_SYNAPTIC_MEMBRANE	6.230720239228143e-05	1.737290303440392	379	6
GOBP_RESPONSE_TO_ALKALOID	6.480851719643841e-05	2.4037715366506096	95	3
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS	6.55826174712387e-05	2.9500425611706316	37	2
GOBP_MAINTENANCE_OF_CELL_NUMBER	6.793321702115729e-05	2.085431011788808	175	4
GOBP_FOREBRAIN_DEVELOPMENT	7.472880662310489e-05	1.7183234887913588	386	6
GOCC_MITOTIC_SPINDLE_POLE	7.6070638929318e-05	2.9218192141774177	38	2
GOCC_POSTSYNAPTIC_DENSITY_MEMBRANE	8.051419526724474e-05	2.3715253315169647	98	3
GOBP_MITOTIC_NUCLEAR_DIVISION	8.148777078893817e-05	1.8574334769925673	277	5
GOCC_SPINDLE	8.483469797059254e-05	1.7049841918735744	391	6
GOBP_POSITIVE_REGULATION_OF_MACROMOLECULE_BIOSYNTHETIC_PROCESS	8.558029014829979e-05	1.1784852674830837	1828	15
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION	8.63836464816316e-05	2.361001395915252	99	3
GOBP_POSTSYNAPSE_ASSEMBLY	8.782360705491942e-05	2.8943677672095394	39	2
GOBP_POSITIVE_REGULATION_OF_BONE_MINERALIZATION	8.782360705492017e-05	2.894367767209539	39	2
GOBP_CELLULAR_RESPONSE_TO_ESTRADIOL_STIMULUS	8.782360705492017e-05	2.894367767209539	39	2
GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_CELL_PROLIFERATION	8.944222164817139e-05	4.410182545053486	5	1
GOBP_REGULATION_OF_ENDOTHELIAL_TUBE_MORPHOGENESIS	8.944222164817181e-05	4.410182545053485	5	1
GOBP_B_1_B_CELL_DIFFERENTIATION	8.944222164817181e-05	4.410182545053486	5	1
GOCC_POLAR_MICROTUBULE	8.944222164817181e-05	4.410182545053486	5	1
GOBP_DEPHOSPHORYLATION_OF_RNA_POLYMERASE_II_C_TERMINAL_DOMAIN	8.944222164817181e-05	4.410182545053486	5	1
GOBP_POSITIVE_REGULATION_OF_SKELETAL_MUSCLE_CELL_DIFFERENTIATION	8.944222164817207e-05	4.410182545053485	5	1
GOBP_DNA_METHYLATION_ON_CYTOSINE	8.944222164817234e-05	4.410182545053484	5	1
GOBP_POSITIVE_REGULATION_OF_MELANOCYTE_DIFFERENTIATION	8.944222164817234e-05	4.410182545053484	5	1
GOBP_HINDBRAIN_MATURATION	8.944222164817234e-05	4.410182545053484	5	1
GOCC_CCR4_NOT_CORE_COMPLEX	8.944222164817234e-05	4.410182545053484	5	1
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_CHEMOTAXIS_BY_VEGF_ACTIVATED_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	8.944222164817234e-05	4.410182545053484	5	1
GOBP_OLIGODENDROCYTE_DIFFERENTIATION	9.259320712140848e-05	2.350585970374628	100	3
GOBP_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.0001060902688386053	2.3300718134201017	102	3
GOBP_REGULATION_OF_NEURON_DIFFERENTIATION	0.00011076620369924595	2.0225064090164433	186	4
GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS	0.00012633626710475604	1.8064996452698845	291	5
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	0.0001364988821676778	1.9951400618807602	191	4
GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	0.00013781875373543878	2.290252071417572	106	3
GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH	0.00013781875373543878	2.290252071417572	106	3
GOBP_POSITIVE_REGULATION_OF_HISTONE_DEACETYLASE_ACTIVITY	0.0001476845790437689	4.1869866089203756	6	1
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	0.0001476845790437692	4.1869866089203756	6	1
GOBP_NEUROBLAST_DIFFERENTIATION	0.0001476845790437692	4.1869866089203756	6	1
GOBP_REGULATION_OF_HEART_RATE_BY_CHEMICAL_SIGNAL	0.0001476845790437692	4.1869866089203756	6	1
GOBP_REGULATION_OF_AMACRINE_CELL_DIFFERENTIATION	0.0001476845790437692	4.1869866089203756	6	1
GOBP_POSITIVE_REGULATION_OF_TAU_PROTEIN_KINASE_ACTIVITY	0.0001476845790437692	4.1869866089203756	6	1
GOBP_B_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	0.0001476845790437692	4.1869866089203756	6	1
GOBP_POSITIVE_REGULATION_OF_ALKALINE_PHOSPHATASE_ACTIVITY	0.0001476845790437692	4.1869866089203756	6	1
GOCC_INTERPHOTORECEPTOR_MATRIX	0.0001476845790437692	4.1869866089203756	6	1
GOBP_REGULATION_OF_TRANSLATION_AT_SYNAPSE	0.0001476845790437692	4.1869866089203756	6	1
GOBP_T_FOLLICULAR_HELPER_CELL_DIFFERENTIATION	0.0001476845790437692	4.1869866089203756	6	1
GOBP_REGULATION_OF_MELANOCYTE_DIFFERENTIATION	0.0001476845790437692	4.1869866089203756	6	1
GOBP_NEGATIVE_REGULATION_OF_CYCLIC_NUCLEOTIDE_PHOSPHODIESTERASE_ACTIVITY	0.0001476845790437692	4.1869866089203756	6	1
GOBP_NEGATIVE_REGULATION_OF_PHOTORECEPTOR_CELL_DIFFERENTIATION	0.0001476845790437692	4.1869866089203756	6	1
GOBP_PROTEIN_LOCALIZATION_TO_ADHERENS_JUNCTION	0.0001476845790437692	4.1869866089203756	6	1
GOBP_POSITIVE_REGULATION_OF_CYTOPLASMIC_MRNA_PROCESSING_BODY_ASSEMBLY	0.00014768457904377008	4.186986608920375	6	1
GOBP_MACROPHAGE_COLONY_STIMULATING_FACTOR_PRODUCTION	0.00014768457904377008	4.186986608920375	6	1
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_CLUSTERING	0.00014768457904377008	4.186986608920375	6	1
GOBP_NEGATIVE_REGULATION_OF_DEPHOSPHORYLATION	0.00014956715124082423	2.7915036944921723	43	2
GOBP_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION	0.00014956715124082423	2.7915036944921723	43	2
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	0.00015445449084076953	1.6407332175995788	416	6
GOBP_METENCEPHALON_DEVELOPMENT	0.00015630401984940764	2.2709153909008513	108	3
GOBP_REGULATION_OF_KERATINOCYTE_PROLIFERATION	0.00016923631084907745	2.767353656362779	44	2
GOBP_POSTSYNAPTIC_SPECIALIZATION_ORGANIZATION	0.00016923631084907745	2.767353656362779	44	2
GOBP_BLASTOCYST_FORMATION	0.00016923631084907827	2.7673536563627783	44	2
GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	0.00018235249453423403	1.304236643836338	1012	10
GOBP_GLIOGENESIS	0.00019006389978042644	1.7579643401566303	305	5
GOBP_EMBRYONIC_CRANIAL_SKELETON_MORPHOGENESIS	0.0001908300430428001	2.743770669647269	45	2
GOBP_CELL_JUNCTION_ASSEMBLY	0.000193339608283482	1.6161003054423908	426	6
GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	0.0001976423406334773	1.6136686312126305	427	6
GOBP_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	0.00019919199078321	2.2333171883697185	112	3
GOBP_BONE_MINERALIZATION	0.00021125065602319785	2.2241320302561465	113	3
GOBP_RESPONSE_TO_COCAINE	0.0002144691190978093	2.7207286593619813	46	2
GOCC_MYELIN_SHEATH	0.00021446911909780964	2.720728659361981	46	2
GOBP_DEPHOSPHORYLATION	0.0002184452931606305	1.7411689604559404	310	5
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	0.00022388092358510984	2.2150295174111716	114	3
GOBP_LEUKOCYTE_APOPTOTIC_PROCESS	0.00022388092358510984	2.2150295174111716	114	3
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS	0.00023289236720779575	4.004612664563224	7	1
GOCC_CEREBELLAR_MOSSY_FIBER	0.00023289236720779575	4.004612664563224	7	1
GOBP_REGULATION_OF_CYTOPLASMIC_MRNA_PROCESSING_BODY_ASSEMBLY	0.00023289236720779638	4.004612664563224	7	1
GOBP_POSITIVE_REGULATION_OF_FEAR_RESPONSE	0.00023289236720779638	4.004612664563224	7	1
GOBP_FOREBRAIN_NEURON_FATE_COMMITMENT	0.00023289236720779638	4.004612664563224	7	1
GOCC_GROWTH_CONE_MEMBRANE	0.00023289236720779638	4.004612664563224	7	1
GOBP_EMBRYONIC_CLEAVAGE	0.00023289236720779638	4.004612664563224	7	1
GOBP_NEGATIVE_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.00023289236720779638	4.004612664563224	7	1
GOBP_CENTRAL_NERVOUS_SYSTEM_MATURATION	0.00023289236720779638	4.004612664563224	7	1
GOBP_INTERLEUKIN_15_MEDIATED_SIGNALING_PATHWAY	0.00023289236720779638	4.004612664563224	7	1
GOBP_CELLULAR_RESPONSE_TO_LAMINAR_FLUID_SHEAR_STRESS	0.00023289236720779638	4.004612664563224	7	1
GOBP_ANTERIOR_POSTERIOR_AXON_GUIDANCE	0.00023289236720779638	4.004612664563224	7	1
GOBP_PARAXIAL_MESODERM_FORMATION	0.00023289236720779638	4.004612664563224	7	1
GOBP_ESTABLISHMENT_OF_MITOTIC_SISTER_CHROMATID_COHESION	0.00023289236720779638	4.004612664563224	7	1
GOCC_EXTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE	0.00023289236720779638	4.004612664563224	7	1
GOBP_POSITIVE_REGULATION_OF_OSSIFICATION	0.00024027699813014694	2.698203308693775	47	2
GOBP_DEVELOPMENTAL_PIGMENTATION	0.000240276998130148	2.698203308693774	47	2
GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.00024440191872007196	1.917187309502225	206	4
GOBP_VESICLE_LOCALIZATION	0.00025352795735854745	1.9121960940024854	207	4
GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	0.00025441344597351587	1.152975017782467	1577	13
GOBP_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	0.00025583907815730756	1.5849208912069135	439	6
GOBP_MITOTIC_CELL_CYCLE	0.0002569395942439333	1.329614282303791	877	9
GOBP_THYMUS_DEVELOPMENT	0.00026837966762490356	2.6761719044029992	48	2
GOBP_POSITIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT	0.0002683796676249056	2.6761719044029983	48	2
GOBP_RESPONSE_TO_ESTRADIOL	0.0002805035245178925	2.1794168533066314	118	3
GOCC_SYNAPSE	0.0002858416749850474	1.1776951137123983	1404	12
GOBP_REGULATION_OF_DEPHOSPHORYLATION	0.0003127544489355511	2.1620696616891784	120	3
GOBP_POSITIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	0.0003319850030859218	2.6335072865714944	50	2
GOBP_SYNAPTIC_SIGNALING	0.0003373687354027212	1.3698739856978495	740	8
GOBP_HINDBRAIN_RADIAL_GLIA_GUIDED_CELL_MIGRATION	0.00035051845267421275	3.8504095944281578	8	1
GOBP_REGULATION_OF_MACROPHAGE_APOPTOTIC_PROCESS	0.00035051845267421275	3.8504095944281578	8	1
GOCC_MITOTIC_SPINDLE_ASTRAL_MICROTUBULE	0.00035051845267421275	3.8504095944281578	8	1
GOBP_REGULATION_OF_PIGMENT_CELL_DIFFERENTIATION	0.00035051845267421275	3.8504095944281578	8	1
GOBP_NEUROTRANSMITTER_RECEPTOR_TRANSPORT_ENDOSOME_TO_POSTSYNAPTIC_MEMBRANE	0.00035051845267421443	3.8504095944281573	8	1
GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE	0.00035051845267421443	3.8504095944281573	8	1
GOBP_TRANS_SYNAPTIC_SIGNALING_BY_TRANS_SYNAPTIC_COMPLEX	0.00035051845267421443	3.8504095944281573	8	1
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_BINDING	0.00035051845267421443	3.8504095944281573	8	1
GOBP_POSITIVE_REGULATION_OF_CELL_MIGRATION_BY_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY	0.00035051845267421443	3.8504095944281573	8	1
GOBP_POST_EMBRYONIC_CAMERA_TYPE_EYE_DEVELOPMENT	0.00035051845267421443	3.8504095944281573	8	1
GOCC_FANCONI_ANAEMIA_NUCLEAR_COMPLEX	0.00035051845267421443	3.8504095944281573	8	1
GOBP_POSITIVE_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.00035051845267421443	3.850409594428157	8	1
GOBP_POSITIVE_REGULATION_OF_DEACETYLASE_ACTIVITY	0.00035051845267421443	3.8504095944281573	8	1
GOBP_POSITIVE_REGULATION_OF_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	0.00035051845267421443	3.8504095944281573	8	1
GOBP_REGULATION_OF_GERMINAL_CENTER_FORMATION	0.0003505184526742161	3.850409594428157	8	1
GOBP_PRESYNAPTIC_ACTIVE_ZONE_ORGANIZATION	0.0003505184526742161	3.850409594428157	8	1
GOCC_CHROMOSOME_CENTROMERIC_REGION	0.0003608687223524889	1.8635804145765245	217	4
GOBP_LYMPHOCYTE_ACTIVATION	0.0003619720012281121	1.3627942688968238	745	8
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	0.0003694053772728026	1.5432262356687163	457	6
GOBP_GLAND_MORPHOGENESIS	0.00038596569241934755	2.1282422472003546	124	3
GOBP_REGULATION_OF_ORGANELLE_ASSEMBLY	0.00038617810614521473	1.8541286199548053	219	4
GOBP_CELL_PROJECTION_ORGANIZATION	0.00040234879621636873	1.1486132739008115	1442	12
GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	0.00040620881258514763	2.1199590401971804	125	3
GOBP_BONE_DEVELOPMENT	0.00041289268207329833	1.8447633511156973	221	4
GOBP_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	0.0004491789796342043	2.1035930952569806	127	3
GOCC_AXON	0.0004820516638158583	1.412663596358788	613	7
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	0.0004925194791992829	2.5532545389896044	54	2
GOBP_GLIAL_CELL_DIFFERENTIATION	0.0005020323786982133	1.8171710355563966	227	4
GOBP_REGULATION_OF_CELL_DIFFERENTIATION	0.0005038606595447661	1.1291217637694344	1468	12
GOBP_REGULATION_OF_CYCLIC_NUCLEOTIDE_PHOSPHODIESTERASE_ACTIVITY	0.000505868743451048	3.716825808750947	9	1
GOBP_NEGATIVE_REGULATION_OF_THYMOCYTE_APOPTOTIC_PROCESS	0.000505868743451048	3.7168258087509476	9	1
GOBP_CELLULAR_RESPONSE_TO_HYDROPEROXIDE	0.000505868743451048	3.7168258087509476	9	1
GOBP_CALCIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE	0.000505868743451048	3.7168258087509476	9	1
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PIGMENTATION	0.000505868743451048	3.7168258087509476	9	1
GOBP_VESICLE_TETHERING_INVOLVED_IN_EXOCYTOSIS	0.000505868743451048	3.7168258087509476	9	1
GOBP_HEMATOPOIETIC_STEM_CELL_MIGRATION	0.0005058687434510505	3.716825808750947	9	1
