ontology	genes_in_set	overlapping_genes	Beta	P	P_bonf_adj	cond_P	cond_P_bonf_adj
integral component of presynaptic active zone membrane (GO:0099059)	52	1	1.7739945653575917	0.0811428708918508	1.0	0.1612110471331375	1.0
transport	53	1	1.7545268283001574	0.0844792126640116	1.0	0.1780453568368676	1.0
chemical synaptic transmission (GO:0007268)	180	2	1.2258961958918388	0.0893805826251589	1.0	0.2395998187690605	1.0
regulation of postsynapse organization (GO:0099175)	55	1	1.7166871905203218	0.0912882844622988	1.0	0.1688356635703464	1.0
postsynaptic density (GO:0014069)	347	3	0.979441886770712	0.0986139010327467	1.0	0.2917423586497965	1.0
neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645)	58	1	1.6624709860600382	0.1018224241021996	1.0	0.2305959899896177	1.0
trans-synaptic signaling (GO:0099537)	214	2	1.0493932160640485	0.1455694727646913	1.0	0.3463393884863408	1.0
presynaptic active zone membrane (GO:0048787)	70	1	1.4708195944781404	0.1471655897234084	1.0	0.2733723444407385	1.0
synapse (GO:0045202)	1474	8	0.5324723085099733	0.1582334354084924	1.0	0.5972723040791353	1.0
synaptic signaling (GO:0099536)	222	2	1.0119514638016571	0.160418437166136	1.0	0.3637911538101416	1.0
postsynapse organization (GO:0099173)	75	1	1.4006125030991536	0.1672549282983904	1.0	0.2769084434154815	1.0
postsynaptic specialization (GO:0099572)	413	3	0.8005955713739065	0.1767194201461648	1.0	0.4604021632848957	1.0
postsynapse (GO:0098794)	909	5	0.5267122455113998	0.2582196593285707	1.0	0.6740535712165618	1.0
presynapse (GO:0098793)	691	4	0.5735031074786311	0.2671643018081586	1.0	0.6329402918072644	1.0
modulation of chemical synaptic transmission (GO:0050804)	99	1	1.118516443960724	0.2692916742496153	1.0	0.4790418699960472	1.0
metabolism	106	1	1.049175149086057	0.2999434255772126	1.0	0.3109906365313214	1.0
presynaptic active zone (GO:0048786)	109	1	1.0208549106394074	0.3131159495973298	1.0	0.5343774613239822	1.0
integral component of postsynaptic membrane (GO:0099055)	119	1	0.931803480517114	0.3570156247584815	1.0	0.5505653660994143	1.0
postsynaptic membrane (GO:0045211)	149	1	0.7037802429245363	0.4862689064034116	1.0	0.7257206409929489	1.0
synaptic vesicle (GO:0008021)	152	1	0.6835629979475386	0.4988509968392313	1.0	0.7734126364591848	1.0
synapse assembly (GO:0007416)	163	1	0.6126974740365135	0.5443024462005954	1.0	0.8008922424435767	1.0
presynaptic process involved in chemical synaptic transmission (GO:0099531)	48	0	0.0	1.0	1.0	1.0	1.0
presynaptic modulation of chemical synaptic transmission (GO:0099171)	48	0	0.0	1.0	1.0	1.0	1.0
establishment of endoplasmic reticulum localization to postsynapse (GO:0099089)	1	0	0.0	1.0	1.0	1.0	1.0
structural constituent of presynapse (GO:0099181)	11	0	0.0	1.0	1.0	1.0	1.0
synaptic signaling via neuropeptide (GO:0099538)	8	0	0.0	1.0	1.0	1.0	1.0
synaptic signaling by nitric oxide (GO:0099163)	3	0	0.0	1.0	1.0	1.0	1.0
structural constituent of synapse (GO:0098918)	38	0	0.0	1.0	1.0	1.0	1.0
regulation of synaptic signaling by nitric oxide (GO:0150045)	2	0	0.0	1.0	1.0	1.0	1.0
regulation of recycling endosome localization within postsynapse (GO:0099158)	1	0	0.0	1.0	1.0	1.0	1.0
presynapse organization (GO:0099172)	2	0	0.0	1.0	1.0	1.0	1.0
regulation of anterograde synaptic vesicle transport (GO:1903742)	2	0	0.0	1.0	1.0	1.0	1.0
regulation of presynapse organization (GO:0099174)	2	0	0.0	1.0	1.0	1.0	1.0
regulation of modification of synapse structure, modulating synaptic transmission (GO:0098987)	2	0	0.0	1.0	1.0	1.0	1.0
regulation of modification of synaptic structure (GO:1905244)	2	0	0.0	1.0	1.0	1.0	1.0
synaptic vesicle recycling via endosome (GO:0036466)	3	0	0.0	1.0	1.0	1.0	1.0
modification of synaptic structure, modulating synaptic transmission (GO:0099564)	1	0	0.0	1.0	1.0	1.0	1.0
postsynaptic specialization organization (GO:0099084)	4	0	0.0	1.0	1.0	1.0	1.0
modification of synaptic structure (GO:0099563)	55	0	0.0	1.0	1.0	1.0	1.0
modification of postsynaptic structure (GO:0099010)	52	0	0.0	1.0	1.0	1.0	1.0
regulation of modification of postsynaptic structure (GO:0099159)	19	0	0.0	1.0	1.0	1.0	1.0
regulation of modification of postsynaptic actin cytoskeleton (GO:1905274)	13	0	0.0	1.0	1.0	1.0	1.0
modification of postsynaptic actin cytoskeleton (GO:0098885)	26	0	0.0	1.0	1.0	1.0	1.0
neurotransmitter receptor transport (GO:0099637)	18	0	0.0	1.0	1.0	1.0	1.0
anterograde axonal transport (GO:0008089)	6	0	0.0	1.0	1.0	1.0	1.0
regulation of trans-synaptic signaling by BDNF, modulating synaptic transmission (GO:0150035)	2	0	0.0	1.0	1.0	1.0	1.0
postsynaptic endocytosis (GO:0140239)	1	0	0.0	1.0	1.0	1.0	1.0
postsynaptic dense core vesicle exocytosis (GO:0150038)	2	0	0.0	1.0	1.0	1.0	1.0
neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0098887)	9	0	0.0	1.0	1.0	1.0	1.0
neurotransmitter receptor transport, endosome to plasma membrane (GO:0099639)	10	0	0.0	1.0	1.0	1.0	1.0
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	5	0	0.0	1.0	1.0	1.0	1.0
regulation of postsynaptic dense core vesicle exocytosis (GO:0150044)	1	0	0.0	1.0	1.0	1.0	1.0
postsynaptic signaling pathway (GO:0098926)	18	0	0.0	1.0	1.0	1.0	1.0
postsynapse to nucleus signaling pathway (GO:0099527)	16	0	0.0	1.0	1.0	1.0	1.0
regulation of postsynapse to nucleus signaling pathway (GO:1905539)	2	0	0.0	1.0	1.0	1.0	1.0
trans-synaptic signaling by lipid (GO:0099541)	11	0	0.0	1.0	1.0	1.0	1.0
trans-synaptic signaling by endocannabinoid (GO:0099542)	11	0	0.0	1.0	1.0	1.0	1.0
retrograde trans-synaptic signaling by endocannabinoid (GO:0098921)	6	0	0.0	1.0	1.0	1.0	1.0
regulation of retrograde trans-synaptic signaling by endocanabinoid (GO:0099178)	3	0	0.0	1.0	1.0	1.0	1.0
trans-synaptic signaling by endocannabinoid, modulating synaptic transmission (GO:0099553)	5	0	0.0	1.0	1.0	1.0	1.0
regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission (GO:0150036)	4	0	0.0	1.0	1.0	1.0	1.0
trans-synaptic signaling by neuropeptide (GO:0099540)	1	0	0.0	1.0	1.0	1.0	1.0
neurotransmitter receptor transport to plasma membrane (GO:0098877)	14	0	0.0	1.0	1.0	1.0	1.0
trans-synaptic signaling by soluble gas (GO:0099543)	1	0	0.0	1.0	1.0	1.0	1.0
trans-synaptic signaling by nitric oxide (GO:0099548)	1	0	0.0	1.0	1.0	1.0	1.0
trans-synaptic signaling by nitric oxide, modulating synaptic transmission (GO:0099555)	1	0	0.0	1.0	1.0	1.0	1.0
retrograde trans-synaptic signaling by nitric oxide, modulating synaptic transmission (GO:0098925)	1	0	0.0	1.0	1.0	1.0	1.0
neurotransmitter receptor transport postsynaptic membrane to endosome (GO:0098968)	2	0	0.0	1.0	1.0	1.0	1.0
retrograde trans-synaptic signaling by trans-synaptic protein complex (GO:0098942)	4	0	0.0	1.0	1.0	1.0	1.0
trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission (GO:0099557)	2	0	0.0	1.0	1.0	1.0	1.0
trans-synaptic signalling via exosome (GO:0099157)	1	0	0.0	1.0	1.0	1.0	1.0
trans-synaptic signaling by BDNF, modulating synaptic transmission (GO:0099183)	6	0	0.0	1.0	1.0	1.0	1.0
structural constituent of active zone (GO:0098882)	8	0	0.0	1.0	1.0	1.0	1.0
trans-synaptic signaling, modulating synaptic transmission (GO:0099550)	7	0	0.0	1.0	1.0	1.0	1.0
structural constituent of presynaptic actin cytoskeleton (GO:0098699)	1	0	0.0	1.0	1.0	1.0	1.0
structural constituent of postsynaptic specialization (GO:0098879)	3	0	0.0	1.0	1.0	1.0	1.0
structural constituent of postsynaptic actin cytoskeleton (GO:0098973)	6	0	0.0	1.0	1.0	1.0	1.0
dendritic transport of ribonucleoprotein complex (GO:0098961)	6	0	0.0	1.0	1.0	1.0	1.0
dendritic transport of mitochondrion (GO:0098939)	1	0	0.0	1.0	1.0	1.0	1.0
anterograde dendritic transport of neurotransmitter receptor complex (GO:0098971)	6	0	0.0	1.0	1.0	1.0	1.0
ATP metabolic process in the presynapse	1	0	0.0	1.0	1.0	1.0	1.0
regulation of ATP metabolic process in the presynapse	1	0	0.0	1.0	1.0	1.0	1.0
ATP metabolic process in the postsynapse	1	0	0.0	1.0	1.0	1.0	1.0
protein catabolic process, modulating synaptic transmission (GO:0099546)	1	0	0.0	1.0	1.0	1.0	1.0
regulation of protein catabolic process at synapse, modulating synaptic transmission (GO:0099574)	8	0	0.0	1.0	1.0	1.0	1.0
regulation of protein catabolic process at postsynapse, modulating synaptic transmission (GO:0099576)	6	0	0.0	1.0	1.0	1.0	1.0
regulation of protein catabolic process at presynapse, modulating synaptic transmission (GO:0099575)	1	0	0.0	1.0	1.0	1.0	1.0
regulation of translation at synapse, modulating synaptic transmission (GO:0099547)	7	0	0.0	1.0	1.0	1.0	1.0
regulation of translation at postsynapse, modulating synaptic transmission (GO:0099578)	3	0	0.0	1.0	1.0	1.0	1.0
postsynaptic spectrin-associated cytoskeleton organization (GO:0099190)	4	0	0.0	1.0	1.0	1.0	1.0
regulation of translation at presynapse, modulating synaptic transmission (GO:0099577)	2	0	0.0	1.0	1.0	1.0	1.0
anterograde dendritic transport (GO:0098937)	9	0	0.0	1.0	1.0	1.0	1.0
protein catabolic process at presynapse (GO:0140247)	5	0	0.0	1.0	1.0	1.0	1.0
regulation protein catabolic process at presynapse (GO:0140251)	4	0	0.0	1.0	1.0	1.0	1.0
axonal transport of messenger ribonucleoprotein complex (GO:0099088)	1	0	0.0	1.0	1.0	1.0	1.0
anterograde axonal transport of neurotransmitter receptor complex (GO:0140231)	1	0	0.0	1.0	1.0	1.0	1.0
neurotransmitter biosynthetic process (GO:0042136)	2	0	0.0	1.0	1.0	1.0	1.0
translation at synapse (GO:0140241)	56	0	0.0	1.0	1.0	1.0	1.0
translation at presynapse (GO:0140236)	51	0	0.0	1.0	1.0	1.0	1.0
translation at postsynapse (GO:0140242)	56	0	0.0	1.0	1.0	1.0	1.0
regulation of translation at postsynapse (GO:0140245)	4	0	0.0	1.0	1.0	1.0	1.0
RNA polyadenylation at postsynapse (GO:0140235)	1	0	0.0	1.0	1.0	1.0	1.0
anterograde axonal protein transport (GO:0099641)	2	0	0.0	1.0	1.0	1.0	1.0
neurotransmitter catabolic process (GO:0042135)	2	0	0.0	1.0	1.0	1.0	1.0
postsynaptic actin cytoskeleton organization (GO:0098974)	21	0	0.0	1.0	1.0	1.0	1.0
postsynaptic cytoskeleton organization (GO:0099188)	27	0	0.0	1.0	1.0	1.0	1.0
presynaptic actin cytoskeleton organization (GO:0099140)	8	0	0.0	1.0	1.0	1.0	1.0
structural constituent of postsynaptic intermediate filament cytoskeleton (GO:0099184)	2	0	0.0	1.0	1.0	1.0	1.0
axonal transport (GO:0098930)	10	0	0.0	1.0	1.0	1.0	1.0
structural constituent of postsynaptic density (GO:0098919)	13	0	0.0	1.0	1.0	1.0	1.0
structural constituent of synapse-associated extracellular matrix (GO:0150043)	1	0	0.0	1.0	1.0	1.0	1.0
anterograde synaptic vesicle transport (GO:0048490)	4	0	0.0	1.0	1.0	1.0	1.0
synaptic vesicle transport along microtubule (GO:0099517)	4	0	0.0	1.0	1.0	1.0	1.0
regulation of synaptic membrane adhesion (GO:0099179)	7	0	0.0	1.0	1.0	1.0	1.0
synaptic target recognition (GO:0008039)	3	0	0.0	1.0	1.0	1.0	1.0
synaptic vesicle cytoskeletal transport (GO:0099514)	4	0	0.0	1.0	1.0	1.0	1.0
regulation of synapse assembly (GO:0051963)	113	0	0.0	1.0	1.0	1.0	1.0
regulation of presynapse assembly (GO:1905606)	31	0	0.0	1.0	1.0	1.0	1.0
regulation of postsynapse assembly (GO:0150052)	62	0	0.0	1.0	1.0	1.0	1.0
retrograde dendritic transport (GO:0098934)	1	1	0.0	1.0	1.0	1.0	1.0
regulation of postsynaptic specialization assembly (GO:0099150)	9	0	0.0	1.0	1.0	1.0	1.0
anterograde dendritic transport of messenger ribonucleoprotein complex (GO:0098964)	2	0	0.0	1.0	1.0	1.0	1.0
regulation of postsynaptic neurotransmitter receptor endocytosis (GO:0099149)	43	0	0.0	1.0	1.0	1.0	1.0
postsynaptic membrane assembly (GO:0097104)	1	0	0.0	1.0	1.0	1.0	1.0
synapse disassembly (GO:0098883)	11	0	0.0	1.0	1.0	1.0	1.0
regulation of synapse disassembly (GO:1905806)	11	0	0.0	1.0	1.0	1.0	1.0
synapse maturation (GO:0060074)	34	0	0.0	1.0	1.0	1.0	1.0
regulation of synapse maturation (GO:0090128)	27	0	0.0	1.0	1.0	1.0	1.0
maintenance of synapse structure (GO:0099558)	23	0	0.0	1.0	1.0	1.0	1.0
maintenance of alignment of postsynaptic density and presynaptic active zone (GO:0099559)	4	0	0.0	1.0	1.0	1.0	1.0
maintenance of postsynaptic specialization structure (GO:0098880)	13	0	0.0	1.0	1.0	1.0	1.0
dendritic transport of messenger ribonucleoprotein complex (GO:0098963)	6	0	0.0	1.0	1.0	1.0	1.0
maintenance of postsynaptic density structure (GO:0099562)	6	0	0.0	1.0	1.0	1.0	1.0
presynaptic cytoskeleton organization (GO:0099187)	9	0	0.0	1.0	1.0	1.0	1.0
structural constituent of postsynapse (GO:0099186)	28	0	0.0	1.0	1.0	1.0	1.0
postsynaptic neurotransmitter receptor endocytosis (GO:0098884)	54	0	0.0	1.0	1.0	1.0	1.0
G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099579)	4	0	0.0	1.0	1.0	1.0	1.0
postsynaptic neurotransmitter receptor diffusion trapping (GO:0098970)	8	0	0.0	1.0	1.0	1.0	1.0
synaptic cleft (GO:0043083)	22	0	0.0	1.0	1.0	1.0	1.0
extracellular matrix of synaptic cleft (GO:0098965)	5	0	0.0	1.0	1.0	1.0	1.0
postsynaptic cytosol (GO:0099524)	51	0	0.0	1.0	1.0	1.0	1.0
postsynaptic cytoskeleton (GO:0099571)	26	0	0.0	1.0	1.0	1.0	1.0
postsynaptic intermediate filament cytoskeleton (GO:0099160)	3	0	0.0	1.0	1.0	1.0	1.0
postsynaptic actin cytoskeleton (GO:0098871)	21	0	0.0	1.0	1.0	1.0	1.0
postsynaptic septin cytoskeleton (GO:0150050)	1	0	0.0	1.0	1.0	1.0	1.0
postsynaptic spectrin-associated cytoskeleton (GO:0099189)	1	0	0.0	1.0	1.0	1.0	1.0
spine apparatus (GO:0097444)	8	0	0.0	1.0	1.0	1.0	1.0
spine apparatus membrane (GO:0098897)	2	0	0.0	1.0	1.0	1.0	1.0
integral component of spine apparatus membrane (GO:0099065)	2	0	0.0	1.0	1.0	1.0	1.0
postsynaptic Golgi apparatus (GO:0150051)	4	0	0.0	1.0	1.0	1.0	1.0
postsynaptic specialization, intracellular component (GO:0099091)	11	0	0.0	1.0	1.0	1.0	1.0
postsynaptic specialization membrane (GO:0099634)	47	0	0.0	1.0	1.0	1.0	1.0
extrinsic component of postsynaptic specialization membrane (GO:0098892)	2	0	0.0	1.0	1.0	1.0	1.0
integral component of postsynaptic specialization membrane (GO:0099060)	43	0	0.0	1.0	1.0	1.0	1.0
anchored component of postsynaptic density membrane (GO:0099031)	11	0	0.0	1.0	1.0	1.0	1.0
integral component of postsynaptic recycling endosome membrane (GO:0099063)	2	0	0.0	1.0	1.0	1.0	1.0
anchored component of postsynaptic recycling endosome membrane (GO:0099033)	2	0	0.0	1.0	1.0	1.0	1.0
postsynaptic recycling endosome membrane (GO:0098944)	7	0	0.0	1.0	1.0	1.0	1.0
postsynaptic recycling endosome (GO:0098837)	11	0	0.0	1.0	1.0	1.0	1.0
extrinsic component of postsynaptic early endosome membrane (GO:0098998)	1	0	0.0	1.0	1.0	1.0	1.0
postsynaptic early endosome membrane (GO:0098896)	1	0	0.0	1.0	1.0	1.0	1.0
integral component of presynaptic SER membrane	1	0	0.0	1.0	1.0	1.0	1.0
postsynaptic early endosome (GO:0098842)	5	0	0.0	1.0	1.0	1.0	1.0
postsynaptic endosome membrane (GO:0098895)	3	0	0.0	1.0	1.0	1.0	1.0
postsynaptic endocytic zone membrane (GO:0098844)	2	0	0.0	1.0	1.0	1.0	1.0
postsynaptic endocytic zone (GO:0098843)	20	0	0.0	1.0	1.0	1.0	1.0
postsynaptic specialization membrane of symmetric synapse (GO:0099164)	1	0	0.0	1.0	1.0	1.0	1.0
postsynaptic specialization of symmetric synapse (GO:0099629)	4	0	0.0	1.0	1.0	1.0	1.0
extrinsic component of postsynaptic density membrane (GO:0099147)	11	0	0.0	1.0	1.0	1.0	1.0
extrinsic component of postsynaptic endosome membrane (GO:0098999)	1	0	0.0	1.0	1.0	1.0	1.0
anchored component of postsynaptic membrane (GO:0099025)	5	0	0.0	1.0	1.0	1.0	1.0
presynaptic SER membrane	2	0	0.0	1.0	1.0	1.0	1.0
integral component of presynaptic ER membrane	1	0	0.0	1.0	1.0	1.0	1.0
synaptic membrane (GO:0097060)	26	0	0.0	1.0	1.0	1.0	1.0
extrinsic component of synaptic membrane (GO:0099243)	2	0	0.0	1.0	1.0	1.0	1.0
integral component of synaptic membrane (GO:0099699)	19	0	0.0	1.0	1.0	1.0	1.0
presynaptic cytosol (GO:0099523)	53	0	0.0	1.0	1.0	1.0	1.0
presynaptic cytoskeleton (GO:0099569)	5	0	0.0	1.0	1.0	1.0	1.0
presynaptic intermediate filament cytoskeleton (GO:0099182)	1	0	0.0	1.0	1.0	1.0	1.0
presynaptic actin cytoskeleton (GO:0099143)	2	0	0.0	1.0	1.0	1.0	1.0
presynaptic active zone cytoplasmic component (GO:0098831)	21	0	0.0	1.0	1.0	1.0	1.0
anchored component of presynaptic active zone membrane (GO:0099029)	8	0	0.0	1.0	1.0	1.0	1.0
extrinsic component of presynaptic active zone membrane (GO:0098891)	3	0	0.0	1.0	1.0	1.0	1.0
presynaptic endocytic zone (GO:0098833)	21	0	0.0	1.0	1.0	1.0	1.0
presynaptic endocytic zone membrane (GO:0098835)	17	0	0.0	1.0	1.0	1.0	1.0
extrinsic component of presynaptic endocytic zone membrane (GO:0098894)	11	0	0.0	1.0	1.0	1.0	1.0
presynaptic endosome (GO:0098830)	13	0	0.0	1.0	1.0	1.0	1.0
presynaptic endosome membrane (GO:0098954)	2	0	0.0	1.0	1.0	1.0	1.0
integral component of presynaptic endosome membrane (GO:0099067)	2	0	0.0	1.0	1.0	1.0	1.0
synaptic vesicle lumen (GO:0034592)	1	0	0.0	1.0	1.0	1.0	1.0
presynaptic ER membrane	1	0	0.0	1.0	1.0	1.0	1.0
presynaptic ER	4	0	0.0	1.0	1.0	1.0	1.0
presynaptic ribosome	52	0	0.0	1.0	1.0	1.0	1.0
extrinsic component of presynaptic membrane (GO:0098888)	8	0	0.0	1.0	1.0	1.0	1.0
anchored component of presynaptic membrane (GO:0099026)	9	0	0.0	1.0	1.0	1.0	1.0
integral component of neuronal dense core vesicle membrane (GO:0099066)	4	0	0.0	1.0	1.0	1.0	1.0
presynaptic SER	2	0	0.0	1.0	1.0	1.0	1.0
extrinsic component of neuronal dense core vesicle membrane (GO:0098674)	2	0	0.0	1.0	1.0	1.0	1.0
neuronal dense core vesicle lumen (GO:0099013)	8	0	0.0	1.0	1.0	1.0	1.0
neuronal dense core vesicle (GO:0098992)	40	0	0.0	1.0	1.0	1.0	1.0
integral component of synaptic vesicle membrane (GO:0030285)	57	0	0.0	1.0	1.0	1.0	1.0
extrinsic component of synaptic vesicle membrane (GO:0098850)	25	0	0.0	1.0	1.0	1.0	1.0
anchored component of synaptic vesicle membrane (GO:0098993)	20	0	0.0	1.0	1.0	1.0	1.0
synaptic vesicle membrane (GO:0030672)	121	0	0.0	1.0	1.0	1.0	1.0
neuronal dense core vesicle membrane (GO:0099012)	6	0	0.0	1.0	1.0	1.0	1.0
extrinsic component of postsynaptic membrane (GO:0098890)	12	0	0.0	1.0	1.0	1.0	1.0
postsynaptic ribosome	70	0	0.0	1.0	1.0	1.0	1.0
postsynaptic ER	9	0	0.0	1.0	1.0	1.0	1.0
zinc ion import into synaptic vesicle (GO:0099180)	2	0	0.0	1.0	1.0	1.0	1.0
synaptic vesicle proton loading (GO:0097401)	20	0	0.0	1.0	1.0	1.0	1.0
regulation of proton loading (GO:1901546)	2	0	0.0	1.0	1.0	1.0	1.0
synaptic vesicle endocytosis (GO:0048488)	71	0	0.0	1.0	1.0	1.0	1.0
regulation of synaptic vesicle endocytosis (GO:1900242)	24	0	0.0	1.0	1.0	1.0	1.0
synaptic vesicle budding from presynaptic endocytic zone membrane (GO:0016185)	1	0	0.0	1.0	1.0	1.0	1.0
regulation of synaptic vesicle budding from presynaptic endocytic zone membrane (GO:0098694)	1	0	0.0	1.0	1.0	1.0	1.0
synaptic vesicle uncoating (GO:0016191)	3	0	0.0	1.0	1.0	1.0	1.0
presynaptic dense core vesicle exocytosis (GO:0099525)	24	0	0.0	1.0	1.0	1.0	1.0
regulation of presynaptic dense core vesicle exocytosis (GO:0099161)	11	0	0.0	1.0	1.0	1.0	1.0
neurotransmitter uptake (GO:0001504)	6	0	0.0	1.0	1.0	1.0	1.0
neurotransmitter reuptake (GO:0098810)	10	0	0.0	1.0	1.0	1.0	1.0
regulation of neurotransmitter uptake (GO:0051580)	5	0	0.0	1.0	1.0	1.0	1.0
presynaptic chaperone-mediated protein folding	3	0	0.0	1.0	1.0	1.0	1.0
presynaptic signaling pathway (GO:0098928)	2	0	0.0	1.0	1.0	1.0	1.0
presynapse to nucleus signaling pathway (GO:0099526)	1	0	0.0	1.0	1.0	1.0	1.0
regulation of postsynaptic cytosolic calcium levels (GO:0099566)	12	0	0.0	1.0	1.0	1.0	1.0
regulation of exocytic insertion of neurotransmitter receptor to postsynaptic membrane (GO:0099145)	2	0	0.0	1.0	1.0	1.0	1.0
exocytic insertion of neurotransmitter receptor to postsynaptic membrane (GO:0098967)	8	0	0.0	1.0	1.0	1.0	1.0
regulation of postsynaptic neurotransmitter receptor activity (GO:0098962)	22	0	0.0	1.0	1.0	1.0	1.0
voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1905030)	5	0	0.0	1.0	1.0	1.0	1.0
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	42	0	0.0	1.0	1.0	1.0	1.0
regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0099152)	2	0	0.0	1.0	1.0	1.0	1.0
regulation of synaptic vesicle neurotransmitter loading (GO:0099162)	2	0	0.0	1.0	1.0	1.0	1.0
intracellular cAMP-activated cation channel activity involved in regulation of postsynaptic membrane potential (GO:0140233)	4	0	0.0	1.0	1.0	1.0	1.0
G-protein coupled neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium levels (GO:0098872)	1	0	0.0	1.0	1.0	1.0	1.0
neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium levels (GO:0099583)	1	0	0.0	1.0	1.0	1.0	1.0
inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels (GO:0098695)	1	0	0.0	1.0	1.0	1.0	1.0
calcium:cation antiporter activity involved in regulation of postsynaptic cytosolic calcium ion levels (GO:1905060)	3	0	0.0	1.0	1.0	1.0	1.0
calcium ion binding involved in regulation of postsynaptic cytosolic calcium levels (GO:0099567)	1	0	0.0	1.0	1.0	1.0	1.0
ATPase-coupled calcium ion transmembrane transporter activity involved in regulation of postsynaptic cytosolic calcium levels (GO:1905059)	1	0	0.0	1.0	1.0	1.0	1.0
regulation of postsynaptic membrane potential (GO:0060078)	60	0	0.0	1.0	1.0	1.0	1.0
synaptic vesicle neurotransmitter loading (GO:0098700)	9	0	0.0	1.0	1.0	1.0	1.0
regulation of synaptic vesicle priming (GO:0010807)	7	0	0.0	1.0	1.0	1.0	1.0
synaptic vesicle priming (GO:0016082)	19	0	0.0	1.0	1.0	1.0	1.0
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099507)	24	0	0.0	1.0	1.0	1.0	1.0
regulation of presynaptic membrane potential (GO:0099505)	48	0	0.0	1.0	1.0	1.0	1.0
voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels (GO:0099626)	9	0	0.0	1.0	1.0	1.0	1.0
